tour_id|readcount_score|congestion_score|star_score|corona_score|senti|senti_count|senti_sum|senti_avg
3367|0.18164|0.60195|0.0|0.036325678496868484||||
3368|0.07221000000000001|0.5284|0.0|0.036325678496868484||||
3369|0.03633|0.40625|0.0|0.036325678496868484||||
3370|0.1768|0.25|0.0|0.036325678496868484||||
3371|0.048900000000000006|0.5958|0.0|0.036325678496868484||||
3372|9e-05|0.589675|0.0|0.036325678496868484||||
3373|0.0|0.581525|3.667|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3374|0.00012000000000000003|0.609375|3.091|0.036325678496868484|[['최고', 2], ['신뢰', 1], ['해', -2]]|3.0|1.0|0.3333333333333333
3375|0.42383|0.3672|4.833|0.036325678496868484|[['강추', 2], ['최고', 2], ['거짓말', -2]]|3.0|2.0|0.6666666666666666
3376|7.000000000000001e-05|0.3702|2.229|0.036325678496868484|[['만족', 2], ['맛', 2], ['최고', 2], ['ㅋ', 1], ['운', 1], ['유명', 1], ['실망', -2]]|7.0|7.0|1.0
3377|0.17357|0.52585|0.0|0.036325678496868484||||
3378|7.000000000000001e-05|0.433325|3.667|0.036325678496868484||||
3379|0.00013000000000000002|0.57125|3.857|0.036325678496868484|[['만족', 2]]|1.0|2.0|2.0
3380|0.35175|0.291675|0.0|0.036325678496868484||||
3381|0.3715000000000001|0.416675|0.0|0.036325678496868484||||
3382|0.05376|0.425|2.281|0.036325678496868484|[['강추', 2], ['도덕적', 2], ['맛', 2], ['사랑', 2], ['이익', 2], ['재미', 2], ['조화', 2], ['최고', 2], ['친절', 2], ['가치', 1], ['개성', 1], ['기대', 1], ['예의', 1], ['인정', 1], ['진리', 1], ['특이', 1], ['한마음', 1], ['합리적', 1], ['ㅉ', -1], ['ㅜ', -1], ['ㅠ', -1], ['부족', -1], ['중독', -1], ['함정', -1], ['불만', -2], ['불쾌감', -2], ['불편', -2], ['비추', -2], ['실망', -2], ['최악', -2], ['해', -2]]|31.0|7.0|0.2258064516129032
3383|0.00012000000000000003|0.272725|3.8|0.036325678496868484|[['최고', 2], ['친구', 1], ['할인', 1]]|3.0|4.0|1.3333333333333333
3384|0.07003000000000001|0.60955|0.0|0.036325678496868484||||
3385|0.4044100000000001|0.597225|2.75|0.036325678496868484|[['친절', 2]]|1.0|2.0|2.0
3386|0.35273000000000004|0.0|0.0|0.036325678496868484||||
3387|0.07278000000000001|0.588975|2.392|0.036325678496868484|[['맛', 2], ['사랑', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['ㅜ', -1], ['미안', -1], ['아쉬움', -1], ['불편', -2]]|9.0|4.0|0.4444444444444444
3388|7.000000000000001e-05|0.5606|0.0|0.036325678496868484||||
3389|0.34838|0.6046|2.0|0.036325678496868484||||
3390|0.00021|0.498325|2.776|0.036325678496868484|[['강추', 2], ['맛', 2], ['최고', 2], ['대접', 1], ['신중', 1], ['인정', 1], ['진리', 1], ['친구', 1], ['찌꺼기', -1], ['창', -1], ['실망', -2]]|11.0|7.0|0.6363636363636364
3391|0.00013000000000000002|0.401775|2.333|0.036325678496868484||||
3392|0.29354|0.508925|2.0|0.036325678496868484||||
3393|0.21938|0.418925|0.0|0.036325678496868484||||
3394|0.26721|0.576925|0.0|0.036325678496868484||||
3395|0.18062|0.516125|0.0|0.036325678496868484||||
3396|0.17932|0.25|0.0|0.036325678496868484||||
3397|0.28748|0.537225|2.25|0.036325678496868484|[['최고', 2], ['친절', 2], ['최악', -2]]|3.0|2.0|0.6666666666666666
3398|0.00031|0.25|0.0|0.036325678496868484||||
3399|0.00011|0.533025|3.667|0.036325678496868484|[['최고', 2], ['친절', 2]]|2.0|4.0|2.0
3400|0.00021|0.57365|4.182|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
