tour_id,readcount,congestion_avg,avg_star,covid_pop_prop
1,0.16412000000000002,0.59855,2.0,0.6974050952174842
2,0.00039000000000000005,0.6026,0,0.6974050952174842
3,0.41050000000000003,0.347225,2.1,0.6974050952174842
4,0.11157,0.6867,4.667,0.6974050952174842
5,0.16603,0.5457500000000001,0.958,0.6974050952174842
6,0.3472,0.549225,2.0,0.6974050952174842
7,0.5365800000000001,0.5,0,0.6974050952174842
8,0.18656,0.721025,0,0.6974050952174842
9,0.0,0.5653,0,0.6974050952174842
10,0.0,0.586875,0,0.6974050952174842
11,0.043140000000000005,0.701,3.4,0.6974050952174842
12,0.18782000000000001,0.676825,4.0,0.6974050952174842
13,0.20631000000000002,0.682825,2.16,0.6974050952174842
14,0.0,0.69705,0,0.6974050952174842
15,0.19505000000000003,0.6389,0,0.6974050952174842
16,0.34172,0.644875,1.0,0.6974050952174842
17,1.0,0.736425,0,0.6974050952174842
18,0.30919,0.584775,4.5,0.6974050952174842
19,0.0,0.73245,2.556,0.6974050952174842
20,0.24182,0.7449,0,0.6974050952174842
21,0.03633,0.72305,0,0.6974050952174842
22,0.31967,0.677975,4.5,0.6974050952174842
23,0.040760000000000005,0.6124,0,0.6974050952174842
24,0.17817000000000002,0.530975,0,0.6974050952174842
25,0.19038000000000002,0.6226,5.0,0.6974050952174842
26,0.159,0.753125,3.0,0.6974050952174842
27,0.18396,0.684325,5.0,0.6974050952174842
28,0.0,0.670225,0,0.6974050952174842
29,0.0,0.68145,0,0.6974050952174842
30,0.17498000000000002,0.652025,0,0.6974050952174842
31,0.19139,0.590125,2.5,0.6974050952174842
32,0.25725000000000003,0.497625,0,0.6974050952174842
33,0.32731000000000005,0.478375,1.571,0.6974050952174842
34,0.17061,0.707625,0,0.6974050952174842
35,0.21072000000000002,0.64945,2.299,0.6974050952174842
36,0.42094000000000004,0.293275,4.5,0.6974050952174842
37,0.0,0.736975,4.2860000000000005,0.6974050952174842
38,0.0,0.697375,1.25,0.6974050952174842
39,0.00014000000000000001,0.5431,5.0,0.6974050952174842
40,0.23996,0.721025,2.7030000000000003,0.6974050952174842
41,0.23958000000000002,0.660725,1.8330000000000002,0.6974050952174842
42,0.16506,0.68095,0,0.6974050952174842
43,0.24886000000000003,0.592475,1.656,0.6974050952174842
44,0.00033000000000000005,0.584575,0,0.6974050952174842
45,0.19208000000000003,0.709875,0,0.6974050952174842
46,0.21937,0.7120000000000001,3.4,0.6974050952174842
47,0.26273,0.572225,5.0,0.6974050952174842
48,0.18635000000000002,0.642625,0,0.6974050952174842
49,0.17886000000000002,0.604425,0,0.6974050952174842
50,0.17094,0.709075,0,0.6974050952174842
51,0.18668,0.637025,4.0,0.6974050952174842
52,0.046520000000000006,0.645825,3.214,0.6974050952174842
