,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
121,28,22,31,75,100,31,22,5,16,13,3,47
122,100,19,22,0,9,8,8,0,0,0,6,51
123,71,69,69,69,84,84,100,79,81,80,76,76
124,99,100,41,13,11,10,14,17,17,13,9,13
125,73,90,80,71,76,87,94,85,100,87,95,97
126,71,0,100,0,71,0,0,0,0,0,0,0
127,100,5,3,3,10,3,2,3,3,2,3,3
128,57,61,47,56,79,47,63,69,100,86,41,55
129,67,100,88,44,28,38,41,34,27,16,7,16
130,78,100,53,18,19,25,38,24,56,31,21,36
131,24,25,23,17,16,18,25,41,100,45,16,18
132,84,100,76,52,35,47,56,58,65,53,39,53
133,80,100,74,60,35,51,64,64,64,41,34,54
134,54,35,47,32,88,59,50,47,100,61,14,38
135,26,28,23,19,20,21,27,40,100,39,18,19
136,5,7,7,6,100,23,21,24,25,35,13,12
137,89,96,100,66,47,59,73,70,81,74,51,69
138,89,96,100,66,47,59,72,70,81,74,51,69
139,6,7,6,8,10,9,13,22,97,100,58,31
140,69,100,77,54,46,46,54,44,50,48,37,51
141,86,100,96,78,63,83,88,89,93,74,68,80
142,0,0,0,0,0,0,0,0,0,0,0,0
143,66,59,53,45,70,100,98,100,88,64,70,73
144,100,77,66,36,30,30,71,68,77,93,54,62
145,71,61,67,52,78,97,100,84,80,72,99,91
146,73,69,66,57,77,97,97,100,92,69,72,77
147,0,0,0,0,0,0,0,0,0,0,0,0
148,85,100,98,90,59,55,17,32,18,15,54,55
149,0,0,100,0,0,0,0,0,0,0,0,0
150,72,71,82,62,80,99,90,84,87,80,100,83
151,50,70,72,40,41,52,65,81,100,75,43,36
152,46,100,30,29,17,18,16,13,27,29,14,20
153,33,43,39,28,21,100,30,23,33,25,20,35
154,64,100,76,52,41,50,48,38,47,42,34,52
155,15,50,0,0,0,100,15,0,35,38,38,83
156,69,76,81,61,76,77,98,89,100,92,62,91
157,65,74,68,76,98,100,94,81,77,97,82,73
158,0,0,0,0,0,0,0,0,100,45,0,45
159,97,100,96,33,15,27,56,36,42,50,19,48
160,29,30,32,28,22,37,100,28,28,31,24,32
161,98,100,18,19,0,0,18,10,0,27,0,10
162,100,99,77,58,25,32,51,57,57,48,32,74
163,38,28,32,27,70,100,66,50,42,29,64,91
164,39,28,32,27,69,100,67,51,43,30,65,90
165,39,28,32,27,71,100,69,52,45,31,66,93
166,38,29,32,28,72,100,70,53,47,34,70,90
167,31,13,14,12,71,100,79,69,76,42,63,66
168,74,77,84,65,61,86,91,72,78,77,73,100
169,83,80,85,81,93,100,96,90,88,86,90,90
170,80,91,100,28,13,6,13,8,13,13,8,21
171,86,100,71,51,56,68,74,52,61,60,66,76
172,61,74,63,51,86,68,87,72,100,98,62,79
