tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
21001,13,2,2,1,1.5,1,18,2020/10/15 14:09
21002,21,9,11,1,1.8095,1,42,2020/10/15 14:09
21003,22,6,4,0,1.4375,1,32,2020/10/15 14:09
21004,6,0,0,0,1.0,1,6,2020/10/15 14:09
21005,3,1,0,0,1.25,1,4,2020/10/15 14:09
21006,54,64,38,8,2.0,2,164,2020/10/15 14:09
21007,11,1,0,0,1.0833,1,12,2020/10/15 14:09
21008,9,1,0,0,1.1,1,10,2020/10/15 14:09
21009,17,5,0,0,1.2273,1,22,2020/10/15 14:09
21010,7,2,3,0,1.6667,1,12,2020/10/15 14:09
21011,12,4,2,0,1.4444,1,18,2020/10/15 14:09
21012,14,3,1,0,1.2778,1,18,2020/10/15 14:09
21013,8,4,2,0,1.5714,1,14,2020/10/15 14:09
21014,12,4,2,0,1.4444,1,18,2020/10/15 14:09
21015,10,4,2,0,1.5,1,16,2020/10/15 14:09
21016,15,5,2,0,1.4091,1,22,2020/10/15 14:09
21017,37,26,10,0,1.6301,1,73,2020/10/15 14:09
21018,42,38,17,0,1.7423,1,97,2020/10/15 14:09
21019,38,38,17,0,1.7742,1,93,2020/10/15 14:09
21020,17,1,0,0,1.0556,1,18,2020/10/15 14:09
21021,15,1,1,0,1.1765,1,17,2020/10/15 14:09
21022,41,49,23,7,1.9667,2,120,2020/10/15 14:09
21023,20,2,0,0,1.0909,1,22,2020/10/15 14:09
21024,40,42,20,6,1.9259,2,108,2020/10/15 14:09
21025,42,42,20,6,1.9091,1,110,2020/10/15 14:09
21026,69,84,62,12,2.0749,2,227,2020/10/15 14:09
21027,28,40,15,5,1.9659,2,88,2020/10/15 14:09
21028,21,6,0,1,1.3214,1,28,2020/10/15 14:09
21029,19,31,16,4,2.0714,2,70,2020/10/15 14:09
21030,41,32,12,3,1.7386,1,88,2020/10/15 14:09
21031,22,7,0,1,1.3333,1,30,2020/10/15 14:09
21032,58,49,47,9,2.0429,1,163,2020/10/15 14:09
21033,6,0,0,0,1.0,1,6,2020/10/15 14:09
21034,47,14,3,2,1.3939,1,66,2020/10/15 14:09
21035,52,55,39,14,2.0938,2,160,2020/10/15 14:09
21036,16,2,0,0,1.1111,1,18,2020/10/15 14:09
21037,36,3,1,0,1.125,1,40,2020/10/15 14:09
21038,10,8,3,1,1.7727,1,22,2020/10/15 14:09
21039,4,7,1,1,1.9231,2,13,2020/10/15 14:09
21040,0,0,0,0,0.0,0,0,
21041,30,19,3,0,1.4808,1,52,2020/10/15 14:09
21042,8,0,0,0,1.0,1,8,2020/10/15 14:09
21043,32,40,31,7,2.1182,2,110,2020/10/15 14:09
21044,47,35,15,3,1.74,1,100,2020/10/15 14:09
21045,4,0,0,0,1.0,1,4,2020/10/15 14:09
21046,10,1,1,0,1.25,1,12,2020/10/15 14:09
21047,10,1,1,0,1.25,1,12,2020/10/15 14:09
21048,85,100,73,15,2.0659,2,273,2020/10/15 14:09
21049,26,48,35,6,2.1826,2,115,2020/10/15 14:09
21050,57,94,82,17,2.236,2,250,2020/10/15 14:09
21051,55,62,65,25,2.2899,3,207,2020/10/15 14:09
21052,41,46,20,4,1.8829,2,111,2020/10/15 14:09
21053,24,4,2,0,1.2667,1,30,2020/10/15 14:09
21054,18,1,1,0,1.15,1,20,2020/10/15 14:09
21055,29,3,2,0,1.2059,1,34,2020/10/15 14:09
21056,65,81,99,33,2.3597,3,278,2020/10/15 14:09
21057,39,22,9,0,1.5714,1,70,2020/10/15 14:09
21058,59,71,29,7,1.9036,2,166,2020/10/15 14:09
21059,18,14,1,0,1.4848,1,33,2020/10/15 14:09
21060,62,75,109,32,2.3993,3,278,2020/10/15 14:09
21061,49,21,10,0,1.5125,1,80,2020/10/15 14:09
21062,80,97,67,15,2.0656,2,259,2020/10/15 14:09
21063,19,5,0,0,1.2083,1,24,2020/10/15 14:09
21064,31,7,5,0,1.3953,1,43,2020/10/15 14:09
21065,41,32,12,3,1.7386,1,88,2020/10/15 14:09
21066,66,122,136,47,2.442,3,371,2020/10/15 14:09
21067,17,5,2,0,1.375,1,24,2020/10/15 14:09
21068,17,7,0,0,1.2917,1,24,2020/10/15 14:09
21069,9,1,0,0,1.1,1,10,2020/10/15 14:09
21070,28,4,2,0,1.2353,1,34,2020/10/15 14:09
21071,28,4,2,0,1.2353,1,34,2020/10/15 14:09
21072,28,6,0,0,1.1765,1,34,2020/10/15 14:09
21073,21,10,3,0,1.4706,1,34,2020/10/15 14:09
21074,87,167,212,70,2.4944,3,536,2020/10/15 14:09
21075,19,4,1,0,1.25,1,24,2020/10/15 14:09
21076,31,11,11,1,1.6667,1,54,2020/10/15 14:09
21077,20,2,0,0,1.0909,1,22,2020/10/15 14:09
21078,8,0,0,0,1.0,1,8,2020/10/15 14:09
21079,89,105,71,16,2.0498,2,281,2020/10/15 14:09
21080,39,24,5,3,1.6056,1,71,2020/10/15 14:09
21081,17,5,0,0,1.2273,1,22,2020/10/15 14:09
21082,88,102,71,16,2.0542,2,277,2020/10/15 14:09
21083,26,4,2,0,1.25,1,32,2020/10/15 14:09
21084,31,4,1,0,1.1667,1,36,2020/10/15 14:09
21085,80,98,66,15,2.0618,2,259,2020/10/15 14:09
21086,18,2,4,0,1.4167,1,24,2020/10/15 14:09
21087,4,2,0,0,1.3333,1,6,2020/10/15 14:09
21088,51,36,8,3,1.6224,1,98,2020/10/15 14:09
21089,27,13,6,2,1.6458,1,48,2020/10/15 14:09
21090,25,2,0,1,1.1786,1,28,2020/10/15 14:09
21091,21,10,3,0,1.4706,1,34,2020/10/15 14:09
21092,33,51,50,14,2.3041,2,148,2020/10/15 14:09
21093,8,6,0,0,1.4286,1,14,2020/10/15 14:09
21094,44,19,4,1,1.4412,1,68,2020/10/15 14:09
21095,18,4,0,0,1.1818,1,22,2020/10/15 14:09
21096,0,0,0,0,0.0,0,0,
21097,6,2,0,0,1.25,1,8,2020/10/15 14:09
21098,58,98,116,37,2.4272,3,309,2020/10/15 14:09
21099,27,12,11,2,1.7692,1,52,2020/10/15 14:09
21100,19,23,10,3,1.9455,2,55,2020/10/15 14:09
21101,14,4,1,0,1.3158,1,19,2020/10/15 14:09
21102,3,1,0,0,1.25,1,4,2020/10/15 14:09
21103,15,2,1,0,1.2222,1,18,2020/10/15 14:09
21104,11,2,3,0,1.5,1,16,2020/10/15 14:09
21105,65,45,15,4,1.6744,1,129,2020/10/15 14:09
21106,62,114,131,41,2.4339,3,348,2020/10/15 14:09
21107,29,3,2,0,1.2059,1,34,2020/10/15 14:09
21108,48,41,14,5,1.7778,1,108,2020/10/15 14:09
21109,23,9,2,0,1.3824,1,34,2020/10/15 14:09
21110,34,8,0,2,1.3182,1,44,2020/10/15 14:09
21111,6,0,0,0,1.0,1,6,2020/10/15 14:09
21112,8,0,0,0,1.0,1,8,2020/10/15 14:09
21113,37,13,3,0,1.3585,1,53,2020/10/15 14:09
21114,6,0,0,0,1.0,1,6,2020/10/15 14:09
21115,34,6,2,0,1.2381,1,42,2020/10/15 14:09
21116,40,38,17,0,1.7579,1,95,2020/10/15 14:09
21117,5,1,0,0,1.1667,1,6,2020/10/15 14:09
21118,48,65,40,10,2.0736,2,163,2020/10/15 14:09
21119,7,2,3,0,1.6667,1,12,2020/10/15 14:09
21120,8,0,0,0,1.0,1,8,2020/10/15 14:09
21121,0,0,0,0,0.0,0,0,
21122,19,1,0,0,1.05,1,20,2020/10/15 14:09
21123,27,38,14,5,1.9643,2,84,2020/10/15 14:09
21124,46,60,79,23,2.3798,3,208,2020/10/15 14:09
21125,26,9,1,0,1.3056,1,36,2020/10/15 14:09
21126,13,5,2,0,1.45,1,20,2020/10/15 14:09
21127,13,4,1,0,1.3333,1,18,2020/10/15 14:09
21128,64,80,104,30,2.3597,3,278,2020/10/15 14:09
21129,9,2,1,0,1.3333,1,12,2020/10/15 14:09
21130,61,96,118,37,2.4199,3,312,2020/10/15 14:09
21131,88,94,63,12,1.9961,2,257,2020/10/15 14:09
21132,36,26,21,4,1.9195,1,87,2020/10/15 14:09
21133,33,4,1,0,1.1579,1,38,2020/10/15 14:09
21134,59,54,26,2,1.7943,1,141,2020/10/15 14:09
21135,63,70,57,11,2.0796,2,201,2020/10/15 14:09
21136,6,0,0,0,1.0,1,6,2020/10/15 14:09
21137,123,162,159,39,2.236,2,483,2020/10/15 14:09
21138,24,15,4,3,1.6957,1,46,2020/10/15 14:09
21139,8,0,0,0,1.0,1,8,2020/10/15 14:09
21140,43,59,67,16,2.3027,3,185,2020/10/15 14:09
21141,22,37,32,8,2.2626,2,99,2020/10/15 14:09
21142,19,36,28,7,2.2556,2,90,2020/10/15 14:09
21143,17,9,0,0,1.3462,1,26,2020/10/15 14:09
21144,7,5,0,0,1.4167,1,12,2020/10/15 14:09
21145,56,82,91,26,2.3412,3,255,2020/10/15 14:09
21146,17,0,1,0,1.1111,1,18,2020/10/15 14:09
21147,0,0,0,0,0.0,0,0,
21148,0,0,0,0,0.0,0,0,
21149,0,0,0,0,0.0,0,0,
21150,0,0,0,0,0.0,0,0,
21151,10,4,2,0,1.5,1,16,2020/10/15 14:09
21152,0,0,0,0,0.0,0,0,
21153,12,4,2,0,1.4444,1,18,2020/10/15 14:09
21154,62,74,128,35,2.4548,3,299,2020/10/15 14:09
21155,2,0,0,0,1.0,1,2,2020/10/15 14:09
21156,23,30,17,2,1.9722,2,72,2020/10/15 14:09
21157,19,2,0,0,1.0952,1,21,2020/10/15 14:09
21158,21,30,11,2,1.9062,2,64,2020/10/15 14:09
21159,12,5,1,0,1.3889,1,18,2020/10/15 14:09
21160,24,4,2,2,1.4375,1,32,2020/10/15 14:09
21161,71,59,29,5,1.8049,1,164,2020/10/15 14:09
21162,53,23,7,3,1.5349,1,86,2020/10/15 14:09
21163,15,5,2,0,1.4091,1,22,2020/10/15 14:09
21164,45,62,80,26,2.4085,3,213,2020/10/15 14:09
21165,60,57,67,13,2.1675,3,197,2020/10/15 14:09
21166,29,2,2,2,1.3429,1,35,2020/10/15 14:09
21167,58,51,13,5,1.7244,1,127,2020/10/15 14:09
21168,86,106,74,15,2.0641,2,281,2020/10/15 14:09
21169,86,106,74,15,2.0641,2,281,2020/10/15 14:09
21170,85,106,73,15,2.0645,2,279,2020/10/15 14:09
21171,32,37,17,4,1.9222,2,90,2020/10/15 14:09
21172,20,1,1,0,1.1364,1,22,2020/10/15 14:09
21173,25,7,1,1,1.3529,1,34,2020/10/15 14:09
21174,106,232,328,89,2.5298,3,755,2020/10/15 14:09
21175,68,54,21,5,1.75,1,148,2020/10/15 14:09
21176,99,111,84,19,2.0735,2,313,2020/10/15 14:09
21177,15,4,1,0,1.3,1,20,2020/10/15 14:09
21178,22,2,0,2,1.3077,1,26,2020/10/15 14:09
21179,24,3,1,1,1.2759,1,29,2020/10/15 14:09
21180,13,1,0,0,1.0714,1,14,2020/10/15 14:09
21181,9,1,0,0,1.1,1,10,2020/10/15 14:09
21182,61,81,60,11,2.0986,2,213,2020/10/15 14:09
21183,4,0,0,0,1.0,1,4,2020/10/15 14:09
21184,42,38,17,0,1.7423,1,97,2020/10/15 14:09
21185,38,38,17,0,1.7742,1,93,2020/10/15 14:09
21186,51,38,8,3,1.63,1,100,2020/10/15 14:09
21187,63,77,93,33,2.3609,3,266,2020/10/15 14:09
21188,52,42,7,1,1.5784,1,102,2020/10/15 14:09
21189,52,47,13,5,1.7521,1,117,2020/10/15 14:09
21190,11,2,1,0,1.2857,1,14,2020/10/15 14:09
21191,19,2,1,0,1.1818,1,22,2020/10/15 14:09
21192,6,0,0,0,1.0,1,6,2020/10/15 14:09
21193,27,2,0,1,1.1667,1,30,2020/10/15 14:09
21194,16,3,1,0,1.25,1,20,2020/10/15 14:09
21195,28,6,0,0,1.1765,1,34,2020/10/15 14:09
21196,20,5,3,3,1.6452,1,31,2020/10/15 14:09
21197,13,1,0,0,1.0714,1,14,2020/10/15 14:09
21198,116,267,368,99,2.5294,3,850,2020/10/15 14:09
21199,10,0,0,0,1.0,1,10,2020/10/15 14:09
21200,34,24,22,8,2.0455,1,88,2020/10/15 14:09
21201,66,82,123,34,2.4098,3,305,2020/10/15 14:09
21202,50,21,9,0,1.4875,1,80,2020/10/15 14:09
21203,54,63,106,31,2.4488,3,254,2020/10/15 14:09
21204,10,0,0,0,1.0,1,10,2020/10/15 14:09
21205,22,2,1,1,1.2692,1,26,2020/10/15 14:09
21206,56,65,118,30,2.4535,3,269,2020/10/15 14:09
21207,51,80,79,14,2.25,2,224,2020/10/15 14:09
21208,54,38,11,5,1.6944,1,108,2020/10/15 14:09
21209,23,2,0,0,1.08,1,25,2020/10/15 14:09
21210,17,2,0,0,1.1053,1,19,2020/10/15 14:09
21211,22,34,10,2,1.8824,2,68,2020/10/15 14:09
21212,8,0,0,0,1.0,1,8,2020/10/15 14:09
21213,42,38,17,0,1.7423,1,97,2020/10/15 14:09
21214,43,35,16,0,1.7128,1,94,2020/10/15 14:09
21215,8,0,0,0,1.0,1,8,2020/10/15 14:09
21216,9,2,3,0,1.5714,1,14,2020/10/15 14:09
21217,22,10,3,1,1.5278,1,36,2020/10/15 14:09
21218,5,1,0,0,1.1667,1,6,2020/10/15 14:09
21219,37,3,1,2,1.2558,1,43,2020/10/15 14:09
21220,19,2,1,0,1.1818,1,22,2020/10/15 14:09
21221,18,6,1,0,1.32,1,25,2020/10/15 14:09
21222,50,64,79,25,2.3624,3,218,2020/10/15 14:09
21223,6,0,0,0,1.0,1,6,2020/10/15 14:09
21224,26,7,2,0,1.3143,1,35,2020/10/15 14:09
21225,19,4,1,0,1.25,1,24,2020/10/15 14:09
21226,60,73,93,28,2.3504,3,254,2020/10/15 14:09
21227,17,2,1,0,1.2,1,20,2020/10/15 14:09
21228,18,2,0,0,1.1,1,20,2020/10/15 14:09
21229,34,25,9,4,1.7639,1,72,2020/10/15 14:09
21230,36,6,4,0,1.3043,1,46,2020/10/15 14:09
21231,21,2,5,0,1.4286,1,28,2020/10/15 14:09
21232,62,87,127,32,2.4188,3,308,2020/10/15 14:09
21233,12,0,0,0,1.0,1,12,2020/10/15 14:09
21234,51,60,82,23,2.3565,3,216,2020/10/15 14:09
21235,10,0,0,0,1.0,1,10,2020/10/15 14:09
21236,95,138,229,56,2.4749,3,518,2020/10/15 14:09
21237,64,83,108,35,2.3931,3,290,2020/10/15 14:09
21238,83,148,185,59,2.4632,3,475,2020/10/15 14:09
21239,46,36,57,19,2.3101,3,158,2020/10/15 14:09
21240,17,2,0,1,1.25,1,20,2020/10/15 14:09
21241,7,2,0,0,1.2222,1,9,2020/10/15 14:09
21242,33,5,2,0,1.225,1,40,2020/10/15 14:09
21243,13,9,2,0,1.5417,1,24,2020/10/15 14:09
21244,8,0,0,0,1.0,1,8,2020/10/15 14:09
21245,66,122,136,47,2.442,3,371,2020/10/15 14:09
21246,23,4,1,0,1.2143,1,28,2020/10/15 14:09
21247,42,51,54,18,2.2909,3,165,2020/10/15 14:09
21248,119,212,348,90,2.5319,3,769,2020/10/15 14:09
21249,28,7,5,0,1.425,1,40,2020/10/15 14:09
21250,40,22,14,2,1.7179,1,78,2020/10/15 14:09
21251,15,1,0,0,1.0625,1,16,2020/10/15 14:09
21252,12,0,0,0,1.0,1,12,2020/10/15 14:09
21253,2,0,0,0,1.0,1,2,2020/10/15 14:09
21254,8,0,0,0,1.0,1,8,2020/10/15 14:09
21255,12,3,1,0,1.3125,1,16,2020/10/15 14:09
21256,49,78,99,29,2.4235,3,255,2020/10/15 14:09
21257,32,10,5,1,1.4792,1,48,2020/10/15 14:09
21258,41,32,12,3,1.7386,1,88,2020/10/15 14:09
21259,23,7,0,0,1.2333,1,30,2020/10/15 14:09
21260,9,1,2,0,1.4167,1,12,2020/10/15 14:09
21261,15,5,2,0,1.4091,1,22,2020/10/15 14:09
21262,8,0,0,0,1.0,1,8,2020/10/15 14:09
21263,12,4,2,0,1.4444,1,18,2020/10/15 14:09
21264,12,3,1,0,1.3125,1,16,2020/10/15 14:09
21265,75,143,164,56,2.4589,3,438,2020/10/15 14:09
21266,10,4,2,0,1.5,1,16,2020/10/15 14:09
21267,4,0,0,0,1.0,1,4,2020/10/15 14:09
21268,16,12,2,0,1.5333,1,30,2020/10/15 14:09
21269,10,2,0,0,1.1667,1,12,2020/10/15 14:09
21270,18,2,2,0,1.2727,1,22,2020/10/15 14:09
21271,65,81,99,33,2.3597,3,278,2020/10/15 14:09
21272,28,6,4,0,1.3684,1,38,2020/10/15 14:09
21273,51,60,82,23,2.3565,3,216,2020/10/15 14:09
21274,59,51,14,5,1.7287,1,129,2020/10/15 14:09
21275,8,0,0,0,1.0,1,8,2020/10/15 14:09
21276,27,16,4,1,1.5625,1,48,2020/10/15 14:09
21277,59,64,29,6,1.8861,2,158,2020/10/15 14:09
21278,10,8,3,1,1.7727,1,22,2020/10/15 14:09
21279,20,3,3,0,1.3462,1,26,2020/10/15 14:09
21280,15,1,0,0,1.0625,1,16,2020/10/15 14:09
21281,23,3,3,2,1.4839,1,31,2020/10/15 14:09
21282,143,159,84,18,1.9431,2,404,2020/10/15 14:09
21283,34,13,1,2,1.42,1,50,2020/10/15 14:09
21284,34,13,1,2,1.42,1,50,2020/10/15 14:09
21285,22,2,0,0,1.0833,1,24,2020/10/15 14:09
21286,29,3,2,0,1.2059,1,34,2020/10/15 14:09
21287,12,1,0,0,1.0769,1,13,2020/10/15 14:09
21288,4,0,0,0,1.0,1,4,2020/10/15 14:09
21289,64,80,104,30,2.3597,3,278,2020/10/15 14:09
21290,90,83,38,8,1.8356,1,219,2020/10/15 14:09
21291,28,5,2,1,1.3333,1,36,2020/10/15 14:09
21292,31,2,1,0,1.1176,1,34,2020/10/15 14:09
21293,46,75,113,25,2.4517,3,259,2020/10/15 14:09
21294,22,10,3,1,1.5278,1,36,2020/10/15 14:09
21295,19,3,0,0,1.1364,1,22,2020/10/15 14:09
21296,14,5,2,1,1.5455,1,22,2020/10/15 14:09
21297,56,54,55,23,2.2394,1,188,2020/10/15 14:09
21298,18,3,1,0,1.2273,1,22,2020/10/15 14:09
21299,35,41,15,5,1.8958,2,96,2020/10/15 14:09
21300,63,82,109,29,2.3675,3,283,2020/10/15 14:09
21301,26,12,1,0,1.359,1,39,2020/10/15 14:09
21302,95,108,77,17,2.0539,2,297,2020/10/15 14:09
21303,21,3,0,1,1.24,1,25,2020/10/15 14:09
21304,8,0,0,0,1.0,1,8,2020/10/15 14:09
21305,69,71,31,7,1.8652,2,178,2020/10/15 14:09
21306,71,54,26,2,1.732,1,153,2020/10/15 14:09
21307,16,2,0,0,1.1111,1,18,2020/10/15 14:09
21308,15,1,1,0,1.1765,1,17,2020/10/15 14:09
21309,6,0,0,0,1.0,1,6,2020/10/15 14:09
21310,70,57,29,4,1.7937,1,160,2020/10/15 14:09
21311,50,58,83,21,2.3538,3,212,2020/10/15 14:09
21312,13,5,2,0,1.45,1,20,2020/10/15 14:09
21313,21,2,5,0,1.4286,1,28,2020/10/15 14:09
21314,6,0,0,0,1.0,1,6,2020/10/15 14:09
21315,45,9,1,1,1.25,1,56,2020/10/15 14:09
21316,18,1,0,0,1.0526,1,19,2020/10/15 14:09
21317,64,72,93,23,2.2976,3,252,2020/10/15 14:09
21318,35,44,20,7,1.9906,2,106,2020/10/15 14:09
21319,52,59,83,22,2.3472,3,216,2020/10/15 14:09
21320,11,1,0,0,1.0833,1,12,2020/10/15 14:09
21321,19,3,0,0,1.1364,1,22,2020/10/15 14:09
21322,29,5,2,0,1.25,1,36,2020/10/15 14:09
21323,26,10,2,0,1.3684,1,38,2020/10/15 14:09
21324,49,43,20,6,1.8559,1,118,2020/10/15 14:09
21325,27,7,0,0,1.2059,1,34,2020/10/15 14:09
21326,51,36,8,3,1.6224,1,98,2020/10/15 14:09
21327,57,89,101,33,2.3929,3,280,2020/10/15 14:09
