tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
17001,4,0,0,0,1.0,1,4,2020/10/15 14:09
17002,5,1,0,0,1.1667,1,6,2020/10/15 14:09
17003,15,1,0,0,1.0625,1,16,2020/10/15 14:09
17004,30,16,5,1,1.5577,1,52,2020/10/15 14:09
17005,4,0,0,0,1.0,1,4,2020/10/15 14:09
17006,130,142,88,21,2.0,2,381,2020/10/15 14:09
17007,21,4,0,0,1.16,1,25,2020/10/15 14:09
17008,16,10,8,2,1.8889,1,36,2020/10/15 14:09
17009,16,10,8,2,1.8889,1,36,2020/10/15 14:09
17010,87,155,146,65,2.4172,2,453,2020/10/15 14:09
17011,57,103,96,50,2.4542,2,306,2020/10/15 14:09
17012,83,132,122,59,2.3965,2,396,2020/10/15 14:09
17013,43,65,73,36,2.47,3,217,2020/10/15 14:09
17014,70,122,114,57,2.4353,2,363,2020/10/15 14:09
17015,47,80,81,43,2.4781,3,251,2020/10/15 14:09
17016,11,0,0,0,1.0,1,11,2020/10/15 14:09
17017,0,0,0,0,0.0,0,0,
17018,0,0,0,0,0.0,0,0,
17019,2,0,0,0,1.0,1,2,2020/10/15 14:09
17020,0,0,0,0,0.0,0,0,
17021,39,49,54,31,2.4451,3,173,2020/10/15 14:09
17022,21,0,0,0,1.0,1,21,2020/10/15 14:09
17023,2,0,0,0,1.0,1,2,2020/10/15 14:09
17024,8,0,0,0,1.0,1,8,2020/10/15 14:09
17025,8,0,0,0,1.0,1,8,2020/10/15 14:09
17026,8,0,0,0,1.0,1,8,2020/10/15 14:09
17027,38,8,8,2,1.5357,1,56,2020/10/15 14:09
17028,0,0,0,0,0.0,0,0,
17029,13,1,0,0,1.0714,1,14,2020/10/15 14:09
17030,7,1,0,0,1.125,1,8,2020/10/15 14:09
17031,4,0,0,0,1.0,1,4,2020/10/15 14:09
17032,4,0,0,0,1.0,1,4,2020/10/15 14:09
17033,14,2,0,0,1.125,1,16,2020/10/15 14:09
17034,4,0,0,0,1.0,1,4,2020/10/15 14:09
17035,0,0,0,0,0.0,0,0,
17036,0,0,0,0,0.0,0,0,
17037,17,5,0,0,1.2273,1,22,2020/10/15 14:09
17038,8,3,1,0,1.4167,1,12,2020/10/15 14:09
17039,10,0,0,0,1.0,1,10,2020/10/15 14:09
17040,8,0,0,0,1.0,1,8,2020/10/15 14:09
17041,13,6,3,0,1.5455,1,22,2020/10/15 14:09
17042,52,49,61,11,2.1792,3,173,2020/10/15 14:09
