,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
10000,10001,0,0,0,0,0.0,0,0,
10001,10002,0,0,0,0,0.0,0,0,
10002,10003,14,4,2,0,1.4,1,20,2020/10/14 15:41
10003,10004,0,0,0,0,0.0,0,0,
10004,10005,5,2,1,0,1.5,1,8,2020/10/14 15:41
10005,10006,11,1,0,0,1.0833,1,12,2020/10/14 15:41
10006,10007,7,2,0,1,1.5,1,10,2020/10/14 15:41
10007,10008,4,0,0,0,1.0,1,4,2020/10/14 15:41
10008,10009,4,0,0,0,1.0,1,4,2020/10/14 15:41
10009,10010,10,3,1,0,1.3571,1,14,2020/10/14 15:41
10010,10011,9,4,3,0,1.625,1,16,2020/10/14 15:41
10011,10012,6,0,0,0,1.0,1,6,2020/10/14 15:41
10012,10013,12,1,0,1,1.2857,1,14,2020/10/14 15:41
10013,10014,11,1,0,0,1.0833,1,12,2020/10/14 15:41
10014,10015,0,0,0,0,0.0,0,0,
10015,10016,5,0,0,0,1.0,1,5,2020/10/14 15:41
10016,10017,0,0,0,0,0.0,0,0,
10017,10018,2,0,0,0,1.0,1,2,2020/10/14 15:41
10018,10019,7,4,3,0,1.7143,1,14,2020/10/14 15:41
10019,10020,6,4,2,0,1.6667,1,12,2020/10/14 15:41
10020,10021,4,0,0,0,1.0,1,4,2020/10/14 15:41
10021,10022,0,0,0,0,0.0,0,0,
10022,10023,2,0,0,0,1.0,1,2,2020/10/14 15:41
10023,10024,4,0,0,0,1.0,1,4,2020/10/14 15:41
10024,10025,0,0,0,0,0.0,0,0,
10025,10026,8,5,3,0,1.6875,1,16,2020/10/14 15:41
10026,10027,7,7,5,0,1.8947,1,19,2020/10/14 15:41
10027,10028,4,0,0,0,1.0,1,4,2020/10/14 15:41
10028,10029,7,4,3,0,1.7143,1,14,2020/10/14 15:41
10029,10030,2,4,0,0,1.6667,2,6,2020/10/14 15:41
10030,10031,43,23,10,4,1.6875,1,80,2020/10/14 15:41
10031,10032,6,0,0,0,1.0,1,6,2020/10/14 15:41
10032,10033,10,10,10,2,2.125,1,32,2020/10/14 15:41
10033,10034,2,2,0,0,1.5,1,4,2020/10/14 15:41
10034,10035,14,0,0,0,1.0,1,14,2020/10/14 15:41
10035,10036,30,8,6,0,1.4545,1,44,2020/10/14 15:41
10036,10037,19,6,4,0,1.4828,1,29,2020/10/14 15:41
10037,10038,0,0,0,0,0.0,0,0,
