,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
3000,3001,29,24,13,6,1.9444,1,72,2020/10/14 14:28
3001,3002,14,26,24,1,2.1846,2,65,2020/10/14 14:28
3002,3003,66,17,21,8,1.7411,1,112,2020/10/14 14:28
3003,3004,11,30,29,6,2.3947,2,76,2020/10/14 14:28
3004,3005,8,22,37,8,2.6,3,75,2020/10/14 14:28
3005,3006,11,22,44,8,2.5765,3,85,2020/10/14 14:28
3006,3007,14,23,22,4,2.254,2,63,2020/10/14 14:28
3007,3008,19,25,44,9,2.4433,3,97,2020/10/14 14:28
3008,3009,13,27,27,6,2.3562,2,73,2020/10/14 14:28
3009,3010,51,9,6,5,1.507,1,71,2020/10/14 14:28
3010,3011,18,26,47,9,2.47,3,100,2020/10/14 14:28
3011,3012,4,2,0,0,1.3333,1,6,2020/10/14 14:28
3012,3013,6,4,2,0,1.6667,1,12,2020/10/14 14:28
3013,3014,0,0,0,0,0.0,0,0,
3014,3015,23,25,26,1,2.0667,3,75,2020/10/14 14:28
3015,3016,16,27,15,6,2.1719,2,64,2020/10/14 14:28
3016,3017,16,27,15,6,2.1719,2,64,2020/10/14 14:28
3017,3018,16,34,24,8,2.2927,2,82,2020/10/14 14:28
3018,3019,19,25,45,9,2.449,3,98,2020/10/14 14:28
3019,3020,0,0,0,0,0.0,0,0,
3020,3021,7,8,5,0,1.9,2,20,2020/10/14 14:28
3021,3022,0,0,0,0,0.0,0,0,
3022,3023,0,0,0,0,0.0,0,0,
3023,3024,15,23,28,5,2.3239,3,71,2020/10/14 14:28
3024,3025,0,0,0,0,0.0,0,0,
3025,3026,8,6,0,0,1.4286,1,14,2020/10/14 14:28
3026,3027,0,0,0,0,0.0,0,0,
3027,3028,4,0,0,0,1.0,1,4,2020/10/14 14:28
3028,3029,4,0,0,0,1.0,1,4,2020/10/14 14:28
3029,3030,2,0,0,0,1.0,1,2,2020/10/14 14:28
3030,3031,12,1,1,0,1.2143,1,14,2020/10/14 14:28
3031,3032,0,0,0,0,0.0,0,0,
3032,3033,0,0,0,0,0.0,0,0,
3033,3034,0,0,0,0,0.0,0,0,
3034,3035,0,0,0,0,0.0,0,0,
3035,3036,0,0,0,0,0.0,0,0,
3036,3037,6,0,0,0,1.0,1,6,2020/10/14 14:28
3037,3038,19,30,27,6,2.2439,2,82,2020/10/14 14:28
3038,3039,2,0,0,0,1.0,1,2,2020/10/14 14:28
3039,3040,2,0,0,0,1.0,1,2,2020/10/14 14:28
3040,3041,11,30,29,6,2.3947,2,76,2020/10/14 14:28
3041,3042,2,0,0,0,1.0,1,2,2020/10/14 14:28
3042,3043,19,25,42,8,2.4149,3,94,2020/10/14 14:28
3043,3044,17,1,0,0,1.0556,1,18,2020/10/14 14:28
3044,3045,31,39,79,12,2.4472,3,161,2020/10/14 14:28
3045,3046,42,7,5,7,1.623,1,61,2020/10/14 14:28
3046,3047,6,0,0,0,1.0,1,6,2020/10/14 14:28
3047,3048,16,3,1,0,1.25,1,20,2020/10/14 14:28
3048,3049,17,26,32,6,2.3333,3,81,2020/10/14 14:28
3049,3050,15,23,28,5,2.3239,3,71,2020/10/14 14:28
3050,3051,64,18,20,8,1.7455,1,110,2020/10/14 14:28
3051,3052,11,5,0,0,1.3125,1,16,2020/10/14 14:28
3052,3053,10,6,3,1,1.75,1,20,2020/10/14 14:28
3053,3054,47,23,17,1,1.6818,1,88,2020/10/14 14:28
3054,3055,18,3,1,0,1.2273,1,22,2020/10/14 14:28
3055,3056,0,0,0,0,0.0,0,0,
3056,3057,16,28,41,10,2.4737,3,95,2020/10/14 14:28
3057,3058,17,17,20,4,2.1897,3,58,2020/10/14 14:28
3058,3059,17,18,22,4,2.2131,3,61,2020/10/14 14:28
3059,3060,2,8,10,0,2.4,3,20,2020/10/14 14:28
3060,3061,74,19,18,10,1.7025,1,121,2020/10/14 14:28
3061,3062,17,17,19,4,2.1754,3,57,2020/10/14 14:28
3062,3063,12,52,51,11,2.4841,2,126,2020/10/14 14:28
3063,3064,12,3,1,0,1.3125,1,16,2020/10/14 14:28
3064,3065,8,0,0,0,1.0,1,8,2020/10/14 14:28
3065,3066,6,0,0,0,1.0,1,6,2020/10/14 14:28
3066,3067,8,0,0,0,1.0,1,8,2020/10/14 14:28
3067,3068,6,0,0,0,1.0,1,6,2020/10/14 14:28
3068,3069,17,19,24,5,2.2615,3,65,2020/10/14 14:28
3069,3070,56,40,36,5,1.927,1,137,2020/10/14 14:28
3070,3071,59,30,39,4,1.9091,1,132,2020/10/14 14:28
3071,3072,59,30,39,4,1.9091,1,132,2020/10/14 14:28
3072,3073,2,0,0,0,1.0,1,2,2020/10/14 14:28
3073,3074,38,12,7,0,1.4561,1,57,2020/10/14 14:28
3074,3075,5,4,1,0,1.6,1,10,2020/10/14 14:28
3075,3076,13,22,39,13,2.5977,3,87,2020/10/14 14:28
3076,3077,35,18,17,0,1.7429,1,70,2020/10/14 14:28
3077,3078,11,25,24,6,2.3788,2,66,2020/10/14 14:28
3078,3079,10,0,0,0,1.0,1,10,2020/10/14 14:28
3079,3080,17,24,42,10,2.4839,3,93,2020/10/14 14:28
3080,3081,16,38,45,13,2.4911,3,112,2020/10/14 14:28
3081,3082,20,27,39,11,2.4227,3,97,2020/10/14 14:28
3082,3083,8,3,1,0,1.4167,1,12,2020/10/14 14:28
3083,3084,12,0,0,0,1.0,1,12,2020/10/14 14:28
3084,3085,14,39,44,5,2.3922,3,102,2020/10/14 14:28
3085,3086,14,44,51,13,2.5164,3,122,2020/10/14 14:28
3086,3087,14,24,23,4,2.2615,2,65,2020/10/14 14:28
3087,3088,19,27,40,7,2.3763,3,93,2020/10/14 14:28
3088,3089,8,6,0,0,1.4286,1,14,2020/10/14 14:28
3089,3090,47,34,10,3,1.6702,1,94,2020/10/14 14:28
3090,3091,38,43,34,9,2.1129,2,124,2020/10/14 14:28
3091,3092,4,0,0,0,1.0,1,4,2020/10/14 14:28
3092,3093,17,40,48,6,2.3874,3,111,2020/10/14 14:28
3093,3094,0,0,0,0,0.0,0,0,
3094,3095,3,3,0,0,1.5,1,6,2020/10/14 14:28
3095,3096,0,0,0,0,0.0,0,0,
3096,3097,16,19,21,4,2.2167,3,60,2020/10/14 14:28
3097,3098,0,0,0,0,0.0,0,0,
3098,3099,4,0,0,0,1.0,1,4,2020/10/14 14:28
3099,3100,17,15,22,2,2.1607,3,56,2020/10/14 14:28
3100,3101,16,18,19,3,2.1607,3,56,2020/10/14 14:28
3101,3102,4,0,0,0,1.0,1,4,2020/10/14 14:28
3102,3103,0,0,0,0,0.0,0,0,
3103,3104,12,38,40,10,2.48,3,100,2020/10/14 14:28
3104,3105,2,0,0,0,1.0,1,2,2020/10/14 14:28
3105,3106,0,0,0,0,0.0,0,0,
3106,3107,0,0,0,0,0.0,0,0,
3107,3108,0,0,0,0,0.0,0,0,
3108,3109,24,1,0,0,1.04,1,25,2020/10/14 14:28
3109,3110,36,33,54,6,2.2326,3,129,2020/10/14 14:28
3110,3111,14,11,12,5,2.1905,1,42,2020/10/14 14:28
3111,3112,0,0,0,0,0.0,0,0,
3112,3113,8,0,0,0,1.0,1,8,2020/10/14 14:28
3113,3114,38,36,33,12,2.1597,1,119,2020/10/14 14:28
3114,3115,14,44,41,13,2.4732,2,112,2020/10/14 14:28
3115,3116,14,25,20,5,2.25,2,64,2020/10/14 14:28
3116,3117,21,13,19,3,2.0714,1,56,2020/10/14 14:28
3117,3118,5,16,28,6,2.6364,3,55,2020/10/14 14:28
3118,3119,9,18,31,9,2.597,3,67,2020/10/14 14:28
3119,3120,6,15,36,7,2.6875,3,64,2020/10/14 14:28
3120,3121,39,22,11,1,1.6438,1,73,2020/10/14 14:28
3121,3122,22,28,48,18,2.5345,3,116,2020/10/14 14:28
3122,3123,0,0,0,0,0.0,0,0,
3123,3124,13,3,0,0,1.1875,1,16,2020/10/14 14:28
3124,3125,11,21,35,9,2.5526,3,76,2020/10/14 14:28
3125,3126,72,18,21,8,1.7059,1,119,2020/10/14 14:28
3126,3127,7,3,0,0,1.3,1,10,2020/10/14 14:28
3127,3128,41,26,18,0,1.7294,1,85,2020/10/14 14:28
3128,3129,16,18,19,3,2.1607,3,56,2020/10/14 14:28
3129,3130,13,3,0,0,1.1875,1,16,2020/10/14 14:28
3130,3131,2,0,0,0,1.0,1,2,2020/10/14 14:28
3131,3132,19,1,0,0,1.05,1,20,2020/10/14 14:28
3132,3133,0,0,0,0,0.0,0,0,
3133,3134,38,21,16,1,1.7368,1,76,2020/10/14 14:28
3134,3135,0,0,0,0,0.0,0,0,
3135,3136,22,23,24,5,2.1622,3,74,2020/10/14 14:28
3136,3137,19,28,28,13,2.3977,2,88,2020/10/14 14:28
3137,3138,14,49,54,13,2.5077,3,130,2020/10/14 14:28
3138,3139,10,20,29,12,2.6056,3,71,2020/10/14 14:28
3139,3140,44,16,19,6,1.8471,1,85,2020/10/14 14:28
3140,3141,44,16,19,6,1.8471,1,85,2020/10/14 14:28
3141,3142,17,42,52,7,2.4153,3,118,2020/10/14 14:28
3142,3143,15,28,26,5,2.2838,2,74,2020/10/14 14:28
3143,3144,0,0,0,0,0.0,0,0,
3144,3145,9,19,15,7,2.4,2,50,2020/10/14 14:28
3145,3146,38,22,20,0,1.775,1,80,2020/10/14 14:28
3146,3147,7,3,0,0,1.3,1,10,2020/10/14 14:28
3147,3148,69,18,20,8,1.713,1,115,2020/10/14 14:28
3148,3149,27,44,73,7,2.3974,3,151,2020/10/14 14:28
3149,3150,12,6,0,0,1.3333,1,18,2020/10/14 14:28
3150,3151,19,40,21,4,2.119,2,84,2020/10/14 14:28
3151,3152,8,36,79,19,2.7676,3,142,2020/10/14 14:28
3152,3153,17,19,15,1,2.0,2,52,2020/10/14 14:28
3153,3154,25,32,71,7,2.4444,3,135,2020/10/14 14:28
3154,3155,23,19,15,0,1.8596,1,57,2020/10/14 14:28
3155,3156,7,28,69,17,2.7934,3,121,2020/10/14 14:28
3156,3157,35,32,54,6,2.2441,3,127,2020/10/14 14:28
3157,3158,9,18,28,6,2.5082,3,61,2020/10/14 14:28
3158,3159,9,20,35,8,2.5833,3,72,2020/10/14 14:28
3159,3160,18,26,16,0,1.9667,2,60,2020/10/14 14:28
3160,3161,36,24,39,5,2.125,3,104,2020/10/14 14:28
3161,3162,19,27,40,7,2.3763,3,93,2020/10/14 14:28
3162,3163,11,19,37,5,2.5,3,72,2020/10/14 14:28
3163,3164,16,21,39,6,2.4268,3,82,2020/10/14 14:28
3164,3165,11,19,37,5,2.5,3,72,2020/10/14 14:28
3165,3166,38,25,18,0,1.7531,1,81,2020/10/14 14:28
3166,3167,2,0,0,0,1.0,1,2,2020/10/14 14:28
3167,3168,22,3,4,0,1.3793,1,29,2020/10/14 14:28
3168,3169,9,24,46,9,2.625,3,88,2020/10/14 14:28
3169,3170,4,0,0,0,1.0,1,4,2020/10/14 14:28
3170,3171,4,0,0,0,1.0,1,4,2020/10/14 14:28
3171,3172,23,30,22,7,2.1585,2,82,2020/10/14 14:28
3172,3173,2,0,0,0,1.0,1,2,2020/10/14 14:28
3173,3174,6,0,0,0,1.0,1,6,2020/10/14 14:28
