tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
11001,14,1,1,0,1.1875,1,16,2020/10/15 14:09
11002,0,0,0,0,0.0,0,0,
11003,4,0,0,0,1.0,1,4,2020/10/15 14:09
11004,0,0,0,0,0.0,0,0,
11005,23,16,17,7,2.127,1,63,2020/10/15 14:09
11006,52,56,52,16,2.1818,2,176,2020/10/15 14:09
11007,0,0,0,0,0.0,0,0,
11008,3,0,0,0,1.0,1,3,2020/10/15 14:09
11009,23,18,19,1,1.9672,1,61,2020/10/15 14:09
11010,33,2,1,0,1.1111,1,36,2020/10/15 14:09
11011,6,0,0,0,1.0,1,6,2020/10/15 14:09
11012,7,7,0,0,1.5,1,14,2020/10/15 14:09
11013,10,2,0,0,1.1667,1,12,2020/10/15 14:09
11014,18,22,26,11,2.3896,3,77,2020/10/15 14:09
11015,21,1,1,0,1.1304,1,23,2020/10/15 14:09
11016,4,1,0,0,1.2,1,5,2020/10/15 14:09
11017,0,0,0,0,0.0,0,0,
11018,0,0,0,0,0.0,0,0,
11019,4,0,0,0,1.0,1,4,2020/10/15 14:09
11020,0,0,0,0,0.0,0,0,
11021,15,21,19,1,2.1071,2,56,2020/10/15 14:09
11022,22,20,23,5,2.1571,3,70,2020/10/15 14:09
11023,6,0,0,0,1.0,1,6,2020/10/15 14:09
11024,0,0,0,0,0.0,0,0,
11025,4,4,0,0,1.5,1,8,2020/10/15 14:09
11026,4,0,0,0,1.0,1,4,2020/10/15 14:09
11027,0,0,0,0,0.0,0,0,
11028,2,0,0,0,1.0,1,2,2020/10/15 14:09
11029,9,0,1,0,1.2,1,10,2020/10/15 14:09
11030,4,0,0,0,1.0,1,4,2020/10/15 14:09
11031,6,0,0,0,1.0,1,6,2020/10/15 14:09
11032,4,0,0,0,1.0,1,4,2020/10/15 14:09
11033,4,0,0,0,1.0,1,4,2020/10/15 14:09
11034,4,0,0,0,1.0,1,4,2020/10/15 14:09
11035,4,0,0,0,1.0,1,4,2020/10/15 14:09
11036,4,0,0,0,1.0,1,4,2020/10/15 14:09
11037,4,0,0,0,1.0,1,4,2020/10/15 14:09
11038,0,0,0,0,0.0,0,0,
11039,12,2,0,0,1.1429,1,14,2020/10/15 14:09
11040,0,0,0,0,0.0,0,0,
11041,27,13,4,3,1.6383,1,47,2020/10/15 14:09
11042,27,13,4,3,1.6383,1,47,2020/10/15 14:09
11043,5,3,0,0,1.375,1,8,2020/10/15 14:09
11044,21,13,4,3,1.7317,1,41,2020/10/15 14:09
11045,4,1,0,0,1.2,1,5,2020/10/15 14:09
11046,0,0,0,0,0.0,0,0,
11047,13,0,0,1,1.2143,1,14,2020/10/15 14:09
11048,24,10,4,3,1.6585,1,41,2020/10/15 14:09
11049,29,13,4,3,1.6122,1,49,2020/10/15 14:09
11050,29,13,4,3,1.6122,1,49,2020/10/15 14:09
11051,4,0,0,0,1.0,1,4,2020/10/15 14:09
11052,16,8,3,3,1.7667,1,30,2020/10/15 14:09
11053,0,0,0,0,0.0,0,0,
