,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
7000,7001,16,20,12,2,2.0,2,50,2020/10/14 15:41
7001,7002,30,33,22,6,2.044,2,91,2020/10/14 15:41
7002,7003,16,20,12,2,2.0,2,50,2020/10/14 15:41
7003,7004,15,4,1,2,1.5455,1,22,2020/10/14 15:41
7004,7005,21,44,52,11,2.4141,3,128,2020/10/14 15:41
7005,7006,0,0,0,0,0.0,0,0,
7006,7007,22,23,30,9,2.3095,3,84,2020/10/14 15:41
7007,7008,9,1,0,0,1.1,1,10,2020/10/14 15:41
7008,7009,35,3,3,0,1.2195,1,41,2020/10/14 15:41
7009,7010,15,1,0,0,1.0625,1,16,2020/10/14 15:41
7010,7011,10,0,0,0,1.0,1,10,2020/10/14 15:41
7011,7012,31,8,5,1,1.4667,1,45,2020/10/14 15:41
7012,7013,19,8,5,1,1.6364,1,33,2020/10/14 15:41
7013,7014,27,10,4,1,1.5,1,42,2020/10/14 15:41
7014,7015,3,1,0,0,1.25,1,4,2020/10/14 15:41
7015,7016,24,19,37,9,2.3483,3,89,2020/10/14 15:41
7016,7017,32,41,47,8,2.2422,3,128,2020/10/14 15:41
7017,7018,24,40,51,25,2.55,3,140,2020/10/14 15:41
7018,7019,4,4,2,0,1.8,1,10,2020/10/14 15:41
7019,7020,4,0,0,0,1.0,1,4,2020/10/14 15:41
7020,7021,44,46,42,20,2.25,2,152,2020/10/14 15:41
7021,7022,8,0,0,0,1.0,1,8,2020/10/14 15:41
7022,7023,0,0,0,0,0.0,0,0,
7023,7024,0,0,0,0,0.0,0,0,
7024,7025,4,0,0,0,1.0,1,4,2020/10/14 15:41
7025,7026,19,11,8,2,1.825,1,40,2020/10/14 15:41
7026,7027,7,2,1,0,1.4,1,10,2020/10/14 15:41
7027,7028,17,8,0,0,1.32,1,25,2020/10/14 15:41
7028,7029,13,9,5,3,1.9333,1,30,2020/10/14 15:41
7029,7030,6,2,4,0,1.8333,1,12,2020/10/14 15:41
7030,7031,0,0,0,0,0.0,0,0,
7031,7032,22,7,2,1,1.4375,1,32,2020/10/14 15:41
7032,7033,6,0,0,0,1.0,1,6,2020/10/14 15:41
7033,7034,4,0,0,0,1.0,1,4,2020/10/14 15:41
7034,7035,2,0,0,0,1.0,1,2,2020/10/14 15:41
7035,7036,0,0,0,0,0.0,0,0,
7036,7037,0,0,0,0,0.0,0,0,
7037,7038,2,0,0,0,1.0,1,2,2020/10/14 15:41
7038,7039,0,0,0,0,0.0,0,0,
7039,7040,2,0,0,0,1.0,1,2,2020/10/14 15:41
7040,7041,2,0,0,0,1.0,1,2,2020/10/14 15:41
7041,7042,4,0,0,0,1.0,1,4,2020/10/14 15:41
7042,7043,0,0,0,0,0.0,0,0,
7043,7044,4,0,0,0,1.0,1,4,2020/10/14 15:41
7044,7045,2,0,0,0,1.0,1,2,2020/10/14 15:41
7045,7046,15,7,3,0,1.52,1,25,2020/10/14 15:41
7046,7047,2,0,0,0,1.0,1,2,2020/10/14 15:41
7047,7048,12,20,37,15,2.6548,3,84,2020/10/14 15:41
7048,7049,18,0,0,0,1.0,1,18,2020/10/14 15:41
7049,7050,4,2,0,0,1.3333,1,6,2020/10/14 15:41
7050,7051,2,2,0,0,1.5,1,4,2020/10/14 15:41
7051,7052,8,0,0,0,1.0,1,8,2020/10/14 15:41
7052,7053,4,0,0,0,1.0,1,4,2020/10/14 15:41
7053,7054,0,0,0,0,0.0,0,0,
7054,7055,2,0,0,0,1.0,1,2,2020/10/14 15:41
7055,7056,4,0,0,0,1.0,1,4,2020/10/14 15:41
7056,7057,8,2,0,0,1.2,1,10,2020/10/14 15:41
7057,7058,42,42,61,25,2.4059,3,170,2020/10/14 15:41
7058,7059,0,0,0,0,0.0,0,0,
7059,7060,14,7,13,1,2.0286,1,35,2020/10/14 15:41
7060,7061,21,17,11,1,1.84,1,50,2020/10/14 15:41
7061,7062,25,27,16,7,2.0667,2,75,2020/10/14 15:41
7062,7063,25,26,47,20,2.5254,3,118,2020/10/14 15:41
7063,7064,0,0,0,0,0.0,0,0,
7064,7065,19,30,16,5,2.1,2,70,2020/10/14 15:41
7065,7066,0,0,0,0,0.0,0,0,
7066,7067,30,18,16,7,2.0,1,71,2020/10/14 15:41
7067,7068,13,4,0,0,1.2353,1,17,2020/10/14 15:41
7068,7069,14,7,3,0,1.5417,1,24,2020/10/14 15:41
7069,7070,16,6,1,0,1.3478,1,23,2020/10/14 15:41
7070,7071,0,0,0,0,0.0,0,0,
7071,7072,29,13,2,0,1.3864,1,44,2020/10/14 15:41
7072,7073,4,0,0,0,1.0,1,4,2020/10/14 15:41
7073,7074,28,8,0,0,1.2222,1,36,2020/10/14 15:41
7074,7075,9,1,0,0,1.1,1,10,2020/10/14 15:41
7075,7076,6,0,0,0,1.0,1,6,2020/10/14 15:41
7076,7077,15,1,0,0,1.0625,1,16,2020/10/14 15:41
7077,7078,19,2,3,0,1.3333,1,24,2020/10/14 15:41
7078,7079,22,6,1,1,1.3667,1,30,2020/10/14 15:41
7079,7080,13,44,54,13,2.5403,3,124,2020/10/14 15:41
7080,7081,2,2,0,0,1.5,1,4,2020/10/14 15:41
7081,7082,19,21,7,3,1.88,2,50,2020/10/14 15:41
7082,7083,10,0,0,0,1.0,1,10,2020/10/14 15:41
7083,7084,2,0,0,0,1.0,1,2,2020/10/14 15:41
7084,7085,2,0,0,0,1.0,1,2,2020/10/14 15:41
7085,7086,19,0,0,0,1.0,1,19,2020/10/14 15:41
7086,7087,4,0,0,0,1.0,1,4,2020/10/14 15:41
7087,7088,4,0,0,0,1.0,1,4,2020/10/14 15:41
7088,7089,8,0,0,0,1.0,1,8,2020/10/14 15:41
7089,7090,32,35,55,21,2.4545,3,143,2020/10/14 15:41
7090,7091,12,4,2,0,1.4444,1,18,2020/10/14 15:41
7091,7092,8,0,0,0,1.0,1,8,2020/10/14 15:41
7092,7093,28,53,102,23,2.5825,3,206,2020/10/14 15:41
7093,7094,6,5,2,3,2.125,1,16,2020/10/14 15:41
7094,7095,13,4,0,1,1.3889,1,18,2020/10/14 15:41
7095,7096,6,4,0,0,1.4,1,10,2020/10/14 15:41
7096,7097,28,18,31,4,2.1358,3,81,2020/10/14 15:41
7097,7098,10,0,0,0,1.0,1,10,2020/10/14 15:41
7098,7099,2,0,0,0,1.0,1,2,2020/10/14 15:41
7099,7100,4,0,0,0,1.0,1,4,2020/10/14 15:41
7100,7101,0,0,0,0,0.0,0,0,
7101,7102,53,23,0,1,1.3377,1,77,2020/10/14 15:41
7102,7103,17,1,0,0,1.0556,1,18,2020/10/14 15:41
7103,7104,24,0,3,0,1.2222,1,27,2020/10/14 15:41
7104,7105,4,0,0,0,1.0,1,4,2020/10/14 15:41
7105,7106,2,0,0,0,1.0,1,2,2020/10/14 15:41
7106,7107,39,2,2,0,1.1395,1,43,2020/10/14 15:41
7107,7108,10,2,0,0,1.1667,1,12,2020/10/14 15:41
7108,7109,4,0,0,0,1.0,1,4,2020/10/14 15:41
7109,7110,15,3,3,1,1.5455,1,22,2020/10/14 15:41
7110,7111,10,1,1,0,1.25,1,12,2020/10/14 15:41
7111,7112,52,19,23,6,1.83,1,100,2020/10/14 15:41
7112,7113,32,5,6,1,1.4545,1,44,2020/10/14 15:41
7113,7114,4,0,0,0,1.0,1,4,2020/10/14 15:41
7114,7115,21,1,2,3,1.5185,1,27,2020/10/14 15:41
7115,7116,21,1,2,3,1.5185,1,27,2020/10/14 15:41
7116,7117,16,31,43,13,2.5146,3,103,2020/10/14 15:41
7117,7118,28,11,34,9,2.2927,3,82,2020/10/14 15:41
7118,7119,9,1,0,0,1.1,1,10,2020/10/14 15:41
7119,7120,26,5,1,1,1.303,1,33,2020/10/14 15:41
7120,7121,16,32,31,7,2.3372,2,86,2020/10/14 15:41
7121,7122,55,31,39,11,2.0441,1,136,2020/10/14 15:41
