,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1679,1680,25,44,60,20,2.5034,3,149,2020/10/14 14:28
1680,1681,14,41,95,29,2.7765,3,179,2020/10/14 14:28
1681,1682,13,28,82,32,2.8581,3,155,2020/10/14 14:28
1682,1683,25,32,55,8,2.3833,3,120,2020/10/14 14:28
1683,1684,38,17,48,14,2.3248,3,117,2020/10/14 14:28
1684,1685,4,22,33,10,2.7101,3,69,2020/10/14 14:28
1685,1686,6,25,39,12,2.6951,3,82,2020/10/14 14:28
1686,1687,8,23,34,19,2.7619,3,84,2020/10/14 14:28
1687,1688,17,40,67,11,2.5333,3,135,2020/10/14 14:28
1688,1689,13,45,105,34,2.8122,3,197,2020/10/14 14:28
1689,1690,24,29,44,18,2.487,3,115,2020/10/14 14:28
1690,1691,7,11,40,7,2.7231,3,65,2020/10/14 14:28
1691,1692,6,14,30,14,2.8125,3,64,2020/10/14 14:28
1692,1693,7,12,38,7,2.7031,3,64,2020/10/14 14:28
1693,1694,5,12,31,7,2.7273,3,55,2020/10/14 14:28
1694,1695,9,38,84,18,2.745,3,149,2020/10/14 14:28
1695,1696,53,26,44,9,2.0682,1,132,2020/10/14 14:28
1696,1697,12,44,87,20,2.7055,3,163,2020/10/14 14:28
1697,1698,7,49,93,21,2.7529,3,170,2020/10/14 14:28
1698,1699,3,28,29,3,2.5079,3,63,2020/10/14 14:28
1699,1700,9,49,98,26,2.7747,3,182,2020/10/14 14:28
1700,1701,32,38,48,9,2.2677,3,127,2020/10/14 14:28
1701,1702,9,24,36,19,2.7386,3,88,2020/10/14 14:28
1702,1703,28,51,95,31,2.6293,3,205,2020/10/14 14:28
1703,1704,16,27,51,14,2.5833,3,108,2020/10/14 14:28
1704,1705,9,19,62,14,2.7788,3,104,2020/10/14 14:28
1705,1706,21,39,96,29,2.7189,3,185,2020/10/14 14:28
1706,1707,7,47,97,28,2.8156,3,179,2020/10/14 14:28
1707,1708,17,42,79,12,2.5733,3,150,2020/10/14 14:28
