tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1001,51,37,57,14,2.2138,3,159,2020/10/20 09:31
1002,0,20,24,4,2.6667,3,48,2020/10/20 09:31
1003,19,12,6,3,1.825,1,40,2020/10/20 09:31
1004,12,17,21,6,2.375,3,56,2020/10/20 09:31
1005,19,16,8,3,1.8913,1,46,2020/10/20 09:31
1006,11,28,43,12,2.5957,3,94,2020/10/20 09:31
1007,16,64,82,26,2.6277,3,188,2020/10/20 09:31
1008,9,17,40,9,2.6533,3,75,2020/10/20 09:31
1009,38,17,14,11,1.975,1,80,2020/10/20 09:31
1010,8,19,27,18,2.7639,3,72,2020/10/20 09:31
1011,19,27,63,17,2.619,3,126,2020/10/20 09:31
1012,14,59,59,24,2.5962,2,156,2020/10/20 09:31
1013,25,71,76,18,2.4579,3,190,2020/10/20 09:31
1014,1,23,40,18,2.9146,3,82,2020/10/20 09:31
1015,11,19,42,9,2.6049,3,81,2020/10/20 09:31
1016,12,20,50,8,2.6,3,90,2020/10/20 09:31
1017,4,49,65,12,2.6538,3,130,2020/10/20 09:31
1018,4,41,70,32,2.8844,3,147,2020/10/20 09:31
1019,25,78,91,20,2.4953,3,214,2020/10/20 09:31
1020,20,18,16,6,2.1333,1,60,2020/10/20 09:31
1021,20,17,15,6,2.1207,1,58,2020/10/20 09:31
1022,2,23,30,10,2.7385,3,65,2020/10/20 09:31
1023,7,43,67,30,2.8163,3,147,2020/10/20 09:31
1024,4,36,69,28,2.8832,3,137,2020/10/20 09:31
1025,21,37,60,13,2.4962,3,131,2020/10/20 09:31
1026,18,45,85,13,2.5776,3,161,2020/10/20 09:31
1027,34,43,32,5,2.0702,2,114,2020/10/20 09:31
1028,2,23,25,6,2.625,3,56,2020/10/20 09:31
1029,22,39,54,4,2.3361,3,119,2020/10/20 09:31
1030,28,30,50,17,2.448,3,125,2020/10/20 09:31
1031,12,20,34,14,2.625,3,80,2020/10/20 09:31
1032,26,33,53,10,2.3852,3,122,2020/10/20 09:31
1033,45,23,35,5,2.0,1,108,2020/10/20 09:31
1034,5,27,46,7,2.6471,3,85,2020/10/20 09:31
1035,21,27,39,9,2.375,3,96,2020/10/20 09:31
1036,10,12,17,6,2.4222,3,45,2020/10/20 09:31
1037,1,4,12,1,2.7222,3,18,2020/10/20 09:31
1038,6,15,36,13,2.8,3,70,2020/10/20 09:31
1039,26,47,73,20,2.5241,3,166,2020/10/20 09:31
1040,39,10,7,2,1.5172,1,58,2020/10/20 09:31
1041,18,45,95,26,2.7011,3,184,2020/10/20 09:31
1042,18,46,64,17,2.5517,3,145,2020/10/20 09:31
1043,11,54,48,18,2.5573,2,131,2020/10/20 09:31
1044,12,11,10,8,2.3415,1,41,2020/10/20 09:31
1045,10,21,20,19,2.6857,2,70,2020/10/20 09:31
1046,10,21,20,19,2.6857,2,70,2020/10/20 09:31
1047,10,21,21,19,2.6901,2,71,2020/10/20 09:31
1048,8,27,47,11,2.6559,3,93,2020/10/20 09:31
1049,43,30,42,15,2.2231,1,130,2020/10/20 09:31
1050,4,58,84,15,2.6832,3,161,2020/10/20 09:31
