tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
19001,6,0,0,0,1.0,1,6,2020/10/21 09:26
19002,19,7,10,0,1.75,1,36,2020/10/21 09:26
19003,4,2,2,2,2.2,1,10,2020/10/21 09:26
19004,0,0,0,0,0.0,0,0,
19005,22,4,2,0,1.2857,1,28,2020/10/21 09:26
19006,0,0,0,0,0.0,0,0,
19007,17,0,1,0,1.1111,1,18,2020/10/21 09:26
19008,12,0,0,0,1.0,1,12,2020/10/21 09:26
19009,2,0,0,0,1.0,1,2,2020/10/21 09:26
19010,15,1,6,0,1.5909,1,22,2020/10/21 09:26
19011,16,8,9,1,1.8529,1,34,2020/10/21 09:26
19012,6,1,1,0,1.375,1,8,2020/10/21 09:26
19013,4,0,0,0,1.0,1,4,2020/10/21 09:26
19014,20,10,11,3,1.9318,1,44,2020/10/21 09:26
19015,9,9,11,3,2.25,3,32,2020/10/21 09:26
19016,10,0,0,0,1.0,1,10,2020/10/21 09:26
19017,28,7,1,2,1.3947,1,38,2020/10/21 09:26
19018,0,0,0,0,0.0,0,0,
19019,0,0,0,0,0.0,0,0,
19020,14,13,4,1,1.75,1,32,2020/10/21 09:26
19021,0,0,0,0,0.0,0,0,
19022,0,0,0,0,0.0,0,0,
19023,4,0,0,0,1.0,1,4,2020/10/21 09:26
19024,4,0,0,0,1.0,1,4,2020/10/21 09:26
19025,4,0,0,0,1.0,1,4,2020/10/21 09:26
19026,0,0,0,0,0.0,0,0,
19027,1,1,0,0,1.5,1,2,2020/10/21 09:26
19028,6,0,0,0,1.0,1,6,2020/10/21 09:26
19029,29,20,9,4,1.8065,1,62,2020/10/21 09:26
19030,0,0,0,0,0.0,0,0,
19031,19,12,5,2,1.7368,1,38,2020/10/21 09:26
19032,33,34,40,16,2.3171,3,123,2020/10/21 09:26
19033,3,0,0,0,1.0,1,3,2020/10/21 09:26
19034,6,0,0,0,1.0,1,6,2020/10/21 09:26
19035,0,0,0,0,0.0,0,0,
19036,9,5,4,4,2.1364,1,22,2020/10/21 09:26
19037,0,0,0,0,0.0,0,0,
19038,0,0,0,0,0.0,0,0,
19039,30,3,1,1,1.2286,1,35,2020/10/21 09:26
19040,15,4,0,0,1.2105,1,19,2020/10/21 09:26
19041,9,4,0,0,1.3077,1,13,2020/10/21 09:26
19042,15,4,0,0,1.2105,1,19,2020/10/21 09:26
19043,18,4,0,0,1.1818,1,22,2020/10/21 09:26
19044,7,1,0,0,1.125,1,8,2020/10/21 09:26
19045,4,0,0,0,1.0,1,4,2020/10/21 09:26
19046,6,1,0,1,1.5,1,8,2020/10/21 09:26
19047,0,0,0,0,0.0,0,0,
19048,17,4,3,0,1.4167,1,24,2020/10/21 09:26
19049,0,0,0,0,0.0,0,0,
19050,31,29,36,14,2.3,3,110,2020/10/21 09:26
19051,26,28,31,13,2.3163,3,98,2020/10/21 09:26
19052,13,25,5,5,2.0417,2,48,2020/10/21 09:26
19053,0,0,0,0,0.0,0,0,
19054,0,0,0,0,0.0,0,0,
19055,18,0,0,0,1.0,1,18,2020/10/21 09:26
19056,12,0,0,0,1.0,1,12,2020/10/21 09:26
19057,14,16,10,4,2.0909,2,44,2020/10/21 09:26
19058,0,0,0,0,0.0,0,0,
19059,4,0,0,0,1.0,1,4,2020/10/21 09:26
19060,0,0,0,0,0.0,0,0,
19061,6,0,0,0,1.0,1,6,2020/10/21 09:26
19062,0,0,0,0,0.0,0,0,
19063,0,0,0,0,0.0,0,0,
19064,0,0,0,0,0.0,0,0,
19065,4,0,0,0,1.0,1,4,2020/10/21 09:26
19066,12,18,10,4,2.1364,2,44,2020/10/21 09:26
19067,7,1,0,0,1.125,1,8,2020/10/21 09:26
19068,0,0,0,0,0.0,0,0,
19069,0,0,0,0,0.0,0,0,
19070,6,3,3,2,2.0714,1,14,2020/10/21 09:26
19071,0,0,0,0,0.0,0,0,
19072,8,0,0,0,1.0,1,8,2020/10/21 09:26
19073,25,14,12,3,1.8704,1,54,2020/10/21 09:26
19074,2,0,0,0,1.0,1,2,2020/10/21 09:26
19075,0,0,0,0,0.0,0,0,
