tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
3001,29,19,19,5,2.0,1,72,2020/10/20 09:31
3002,22,17,23,3,2.1077,3,65,2020/10/20 09:31
3003,70,19,18,5,1.625,1,112,2020/10/20 09:31
3004,21,27,20,8,2.1974,2,76,2020/10/20 09:31
3005,8,30,31,6,2.4667,3,75,2020/10/20 09:31
3006,11,31,36,7,2.4588,3,85,2020/10/20 09:31
3007,20,23,15,5,2.0794,2,63,2020/10/20 09:31
3008,21,34,32,10,2.3196,2,97,2020/10/20 09:31
3009,15,30,24,4,2.2329,2,73,2020/10/20 09:31
3010,47,12,7,5,1.5775,1,71,2020/10/20 09:31
3011,20,35,35,10,2.35,2,100,2020/10/20 09:31
3012,4,0,2,0,1.6667,1,6,2020/10/20 09:31
3013,6,4,2,0,1.6667,1,12,2020/10/20 09:31
3014,0,0,0,0,0.0,0,0,
3015,29,19,24,3,2.0133,1,75,2020/10/20 09:31
3016,23,19,18,4,2.0469,1,64,2020/10/20 09:31
3017,23,19,18,4,2.0469,1,64,2020/10/20 09:31
3018,24,29,25,4,2.1098,2,82,2020/10/20 09:31
3019,21,34,33,10,2.3265,2,98,2020/10/20 09:31
3020,0,0,0,0,0.0,0,0,
3021,8,4,7,1,2.05,1,20,2020/10/20 09:31
3022,0,0,0,0,0.0,0,0,
3023,0,0,0,0,0.0,0,0,
3024,19,26,19,7,2.1972,2,71,2020/10/20 09:31
3025,0,0,0,0,0.0,0,0,
3026,11,2,1,0,1.2857,1,14,2020/10/20 09:31
3027,0,0,0,0,0.0,0,0,
3028,4,0,0,0,1.0,1,4,2020/10/20 09:31
3029,4,0,0,0,1.0,1,4,2020/10/20 09:31
3030,2,0,0,0,1.0,1,2,2020/10/20 09:31
3031,10,1,2,1,1.5714,1,14,2020/10/20 09:31
3032,0,0,0,0,0.0,0,0,
3033,0,0,0,0,0.0,0,0,
3034,0,0,0,0,0.0,0,0,
3035,0,0,0,0,0.0,0,0,
3036,0,0,0,0,0.0,0,0,
3037,6,0,0,0,1.0,1,6,2020/10/20 09:31
3038,23,27,29,3,2.1463,3,82,2020/10/20 09:31
3039,2,0,0,0,1.0,1,2,2020/10/20 09:31
3040,2,0,0,0,1.0,1,2,2020/10/20 09:31
3041,21,27,20,8,2.1974,2,76,2020/10/20 09:31
3042,2,0,0,0,1.0,1,2,2020/10/20 09:31
3043,21,33,32,8,2.2872,2,94,2020/10/20 09:31
3044,13,2,2,1,1.5,1,18,2020/10/20 09:31
3045,40,43,63,15,2.3292,3,161,2020/10/20 09:31
3046,42,10,9,0,1.459,1,61,2020/10/20 09:31
3047,6,0,0,0,1.0,1,6,2020/10/20 09:31
3048,14,3,3,0,1.45,1,20,2020/10/20 09:31
3049,21,29,26,5,2.1852,2,81,2020/10/20 09:31
3050,19,26,19,7,2.1972,2,71,2020/10/20 09:31
3051,67,20,18,5,1.6455,1,110,2020/10/20 09:31
3052,13,2,1,0,1.25,1,16,2020/10/20 09:31
3053,8,7,5,0,1.85,1,20,2020/10/20 09:31
3054,44,19,21,4,1.8295,1,88,2020/10/20 09:31
3055,16,3,3,0,1.4091,1,22,2020/10/20 09:31
3056,0,0,0,0,0.0,0,0,
3057,20,29,39,7,2.3474,3,95,2020/10/20 09:31
3058,19,21,15,3,2.0345,2,58,2020/10/20 09:31
3059,19,23,16,3,2.0492,2,61,2020/10/20 09:31
3060,3,10,7,0,2.2,2,20,2020/10/20 09:31
3061,74,22,16,9,1.6694,1,121,2020/10/20 09:31
3062,19,21,14,3,2.0175,2,57,2020/10/20 09:31
3063,24,45,45,12,2.3571,2,126,2020/10/20 09:31
3064,10,3,3,0,1.5625,1,16,2020/10/20 09:31
3065,7,1,0,0,1.125,1,8,2020/10/20 09:31
3066,6,0,0,0,1.0,1,6,2020/10/20 09:31
3067,8,0,0,0,1.0,1,8,2020/10/20 09:31
3068,6,0,0,0,1.0,1,6,2020/10/20 09:31
3069,20,24,16,5,2.0923,2,65,2020/10/20 09:31
3070,57,38,33,9,1.9562,1,137,2020/10/20 09:31
3071,60,30,33,9,1.9318,1,132,2020/10/20 09:31
3072,60,30,33,9,1.9318,1,132,2020/10/20 09:31
3073,2,0,0,0,1.0,1,2,2020/10/20 09:31
3074,38,11,8,0,1.4737,1,57,2020/10/20 09:31
3075,4,3,3,0,1.9,1,10,2020/10/20 09:31
3076,13,36,32,6,2.3563,2,87,2020/10/20 09:31
3077,36,17,14,3,1.7714,1,70,2020/10/20 09:31
3078,12,23,29,2,2.3182,3,66,2020/10/20 09:31
3079,9,1,0,0,1.1,1,10,2020/10/20 09:31
3080,20,31,36,6,2.3011,3,93,2020/10/20 09:31
3081,19,42,39,12,2.3929,2,112,2020/10/20 09:31
3082,18,32,38,9,2.3918,3,97,2020/10/20 09:31
3083,9,2,1,0,1.3333,1,12,2020/10/20 09:31
3084,12,0,0,0,1.0,1,12,2020/10/20 09:31
3085,16,29,48,9,2.4902,3,102,2020/10/20 09:31
3086,19,41,53,9,2.4262,3,122,2020/10/20 09:31
3087,20,24,16,5,2.0923,2,65,2020/10/20 09:31
3088,22,32,28,11,2.3011,2,93,2020/10/20 09:31
3089,11,2,1,0,1.2857,1,14,2020/10/20 09:31
3090,53,24,13,4,1.6596,1,94,2020/10/20 09:31
3091,36,50,30,8,2.0806,2,124,2020/10/20 09:31
3092,4,0,0,0,1.0,1,4,2020/10/20 09:31
3093,25,38,43,5,2.2523,3,111,2020/10/20 09:31
3094,0,0,0,0,0.0,0,0,
3095,6,0,0,0,1.0,1,6,2020/10/20 09:31
3096,0,0,0,0,0.0,0,0,
3097,19,23,13,5,2.0667,2,60,2020/10/20 09:31
3098,0,0,0,0,0.0,0,0,
3099,0,0,0,0,0.0,0,0,
3100,19,14,20,3,2.125,3,56,2020/10/20 09:31
3101,18,22,13,3,2.0179,2,56,2020/10/20 09:31
3102,4,0,0,0,1.0,1,4,2020/10/20 09:31
3103,0,0,0,0,0.0,0,0,
3104,20,35,33,12,2.37,2,100,2020/10/20 09:31
3105,2,0,0,0,1.0,1,2,2020/10/20 09:31
3106,0,0,0,0,0.0,0,0,
3107,0,0,0,0,0.0,0,0,
3108,0,0,0,0,0.0,0,0,
3109,21,4,0,0,1.16,1,25,2020/10/20 09:31
3110,43,35,45,6,2.1085,3,129,2020/10/20 09:31
3111,14,15,8,5,2.0952,2,42,2020/10/20 09:31
3112,0,0,0,0,0.0,0,0,
3113,8,0,0,0,1.0,1,8,2020/10/20 09:31
3114,37,39,36,7,2.1092,2,119,2020/10/20 09:31
3115,24,35,45,8,2.3304,3,112,2020/10/20 09:31
3116,15,22,25,2,2.2188,3,64,2020/10/20 09:31
3117,21,18,14,3,1.9821,1,56,2020/10/20 09:31
3118,6,28,18,3,2.3273,2,55,2020/10/20 09:31
3119,8,26,27,6,2.4627,3,67,2020/10/20 09:31
3120,6,24,28,6,2.5312,3,64,2020/10/20 09:31
3121,37,22,10,4,1.7397,1,73,2020/10/20 09:31
