tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
10001,0,0,0,0,0.0,0,0,
10002,0,0,0,0,0.0,0,0,
10003,14,5,0,1,1.4,1,20,2020/10/20 09:31
10004,0,0,0,0,0.0,0,0,
10005,6,2,0,0,1.25,1,8,2020/10/20 09:31
10006,10,2,0,0,1.1667,1,12,2020/10/20 09:31
10007,8,1,0,1,1.4,1,10,2020/10/20 09:31
10008,4,0,0,0,1.0,1,4,2020/10/20 09:31
10009,4,0,0,0,1.0,1,4,2020/10/20 09:31
10010,11,2,1,0,1.2857,1,14,2020/10/20 09:31
10011,8,7,1,0,1.5625,1,16,2020/10/20 09:31
10012,6,0,0,0,1.0,1,6,2020/10/20 09:31
10013,11,2,0,1,1.3571,1,14,2020/10/20 09:31
10014,10,2,0,0,1.1667,1,12,2020/10/20 09:31
10015,0,0,0,0,0.0,0,0,
10016,5,0,0,0,1.0,1,5,2020/10/20 09:31
10017,0,0,0,0,0.0,0,0,
10018,2,0,0,0,1.0,1,2,2020/10/20 09:31
10019,7,6,1,0,1.5714,1,14,2020/10/20 09:31
10020,9,3,0,0,1.25,1,12,2020/10/20 09:31
10021,4,0,0,0,1.0,1,4,2020/10/20 09:31
10022,0,0,0,0,0.0,0,0,
10023,2,0,0,0,1.0,1,2,2020/10/20 09:31
10024,4,0,0,0,1.0,1,4,2020/10/20 09:31
10025,0,0,0,0,0.0,0,0,
10026,8,7,1,0,1.5625,1,16,2020/10/20 09:31
10027,10,8,1,0,1.5263,1,19,2020/10/20 09:31
10028,4,0,0,0,1.0,1,4,2020/10/20 09:31
10029,10,4,0,0,1.2857,1,14,2020/10/20 09:31
10030,2,4,0,0,1.6667,2,6,2020/10/20 09:31
10031,43,19,17,1,1.7,1,80,2020/10/20 09:31
10032,6,0,0,0,1.0,1,6,2020/10/20 09:31
10033,13,9,8,2,1.9688,1,32,2020/10/20 09:31
10034,4,0,0,0,1.0,1,4,2020/10/20 09:31
10035,14,0,0,0,1.0,1,14,2020/10/20 09:31
10036,28,11,5,0,1.4773,1,44,2020/10/20 09:31
10037,19,9,1,0,1.3793,1,29,2020/10/20 09:31
10038,0,0,0,0,0.0,0,0,
10039,12,4,1,0,1.3529,1,17,2020/10/20 09:31
10040,0,0,0,0,0.0,0,0,
10041,5,1,0,0,1.1667,1,6,2020/10/20 09:31
10042,14,0,0,0,1.0,1,14,2020/10/20 09:31
10043,51,27,30,8,1.9569,1,116,2020/10/20 09:31
10044,131,94,69,32,2.0061,1,326,2020/10/20 09:31
10045,0,0,0,0,0.0,0,0,
10046,0,0,0,0,0.0,0,0,
10047,34,32,38,4,2.1111,3,108,2020/10/20 09:31
10048,7,1,0,0,1.125,1,8,2020/10/20 09:31
10049,0,0,0,0,0.0,0,0,
10050,2,0,0,0,1.0,1,2,2020/10/20 09:31
10051,4,0,0,0,1.0,1,4,2020/10/20 09:31
10052,4,0,0,0,1.0,1,4,2020/10/20 09:31
10053,38,2,0,0,1.05,1,40,2020/10/20 09:31
10054,5,1,0,0,1.1667,1,6,2020/10/20 09:31
10055,2,2,0,0,1.5,1,4,2020/10/20 09:31
10056,11,1,0,0,1.0833,1,12,2020/10/20 09:31
10057,9,1,0,0,1.1,1,10,2020/10/20 09:31
10058,0,0,0,0,0.0,0,0,
10059,10,1,0,0,1.0909,1,11,2020/10/20 09:31
10060,47,24,33,4,1.9444,1,108,2020/10/20 09:31
10061,3,0,0,0,1.0,1,3,2020/10/20 09:31
10062,19,17,12,2,1.94,1,50,2020/10/20 09:31
10063,20,2,0,0,1.0909,1,22,2020/10/20 09:31
10064,6,0,0,0,1.0,1,6,2020/10/20 09:31
10065,6,0,0,0,1.0,1,6,2020/10/20 09:31
10066,4,0,0,0,1.0,1,4,2020/10/20 09:31
10067,4,0,0,0,1.0,1,4,2020/10/20 09:31
10068,12,0,0,0,1.0,1,12,2020/10/20 09:31
10069,8,0,0,0,1.0,1,8,2020/10/20 09:31
10070,25,2,2,1,1.3,1,30,2020/10/20 09:31
10071,10,0,0,0,1.0,1,10,2020/10/20 09:31
10072,0,0,0,0,0.0,0,0,
10073,17,19,1,1,1.6316,2,38,2020/10/20 09:31
10074,4,0,0,0,1.0,1,4,2020/10/20 09:31
10075,2,0,0,0,1.0,1,2,2020/10/20 09:31
10076,8,0,0,0,1.0,1,8,2020/10/20 09:31
10077,16,0,0,0,1.0,1,16,2020/10/20 09:31
10078,0,0,0,0,0.0,0,0,
10079,9,1,0,0,1.1,1,10,2020/10/20 09:31
10080,16,10,2,2,1.6667,1,30,2020/10/20 09:31
10081,10,7,1,0,1.5,1,18,2020/10/20 09:31
10082,7,1,0,0,1.125,1,8,2020/10/20 09:31
10083,4,0,0,0,1.0,1,4,2020/10/20 09:31
10084,11,5,0,0,1.3125,1,16,2020/10/20 09:31
10085,4,0,0,0,1.0,1,4,2020/10/20 09:31
10086,6,0,0,0,1.0,1,6,2020/10/20 09:31
10087,2,0,0,0,1.0,1,2,2020/10/20 09:31
10088,4,6,2,0,1.8333,2,12,2020/10/20 09:31
10089,0,0,0,0,0.0,0,0,
10090,70,52,30,12,1.9024,1,164,2020/10/20 09:31
10091,2,4,0,0,1.6667,2,6,2020/10/20 09:31
