tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1,13,31,47,13,2.5769,3,104,2020/10/20 09:31
2,43,32,45,14,2.2239,3,134,2020/10/20 09:31
3,10,7,1,0,1.5,1,18,2020/10/20 09:31
4,18,36,87,17,2.6519,3,158,2020/10/20 09:31
5,40,40,60,14,2.3117,3,154,2020/10/20 09:31
6,32,29,58,8,2.3307,3,127,2020/10/20 09:31
7,41,25,51,5,2.1639,3,122,2020/10/20 09:31
8,5,42,95,22,2.8171,3,164,2020/10/20 09:31
9,41,34,45,14,2.2388,3,134,2020/10/20 09:31
10,33,36,36,13,2.2458,2,118,2020/10/20 09:31
11,16,61,101,21,2.6382,3,199,2020/10/20 09:31
12,7,27,40,8,2.5976,3,82,2020/10/20 09:31
13,5,24,33,5,2.5672,3,67,2020/10/20 09:31
14,17,62,105,19,2.6207,3,203,2020/10/20 09:31
15,4,20,20,10,2.6667,2,54,2020/10/20 09:31
16,8,34,36,10,2.5455,3,88,2020/10/20 09:31
17,4,39,60,26,2.8372,3,129,2020/10/20 09:31
18,16,24,58,17,2.6609,3,115,2020/10/20 09:31
19,8,52,85,26,2.7544,3,171,2020/10/20 09:31
20,5,30,40,23,2.8265,3,98,2020/10/20 09:31
21,11,55,77,24,2.6826,3,167,2020/10/20 09:31
22,14,29,62,13,2.6271,3,118,2020/10/20 09:31
23,25,39,53,12,2.4031,3,129,2020/10/20 09:31
24,38,29,33,13,2.1858,1,113,2020/10/20 09:31
25,20,30,39,15,2.4712,3,104,2020/10/20 09:31
26,2,22,47,9,2.7875,3,80,2020/10/20 09:31
27,11,30,67,10,2.6441,3,118,2020/10/20 09:31
28,11,25,48,10,2.6064,3,94,2020/10/20 09:31
29,17,28,65,14,2.6129,3,124,2020/10/20 09:31
30,3,22,44,5,2.6892,3,74,2020/10/20 09:31
31,6,32,42,6,2.5581,3,86,2020/10/20 09:31
32,43,17,36,9,2.1048,1,105,2020/10/20 09:31
33,48,13,32,11,2.0577,1,104,2020/10/20 09:31
34,2,25,25,7,2.6271,2,59,2020/10/20 09:31
35,19,56,84,25,2.625,3,184,2020/10/20 09:31
36,23,4,10,15,2.3269,1,52,2020/10/20 09:31
37,8,27,56,5,2.6042,3,96,2020/10/20 09:31
38,19,39,93,20,2.6667,3,171,2020/10/20 09:31
39,31,43,41,30,2.4828,2,145,2020/10/20 09:31
40,8,52,84,20,2.7073,3,164,2020/10/20 09:31
41,10,22,54,12,2.6939,3,98,2020/10/20 09:31
42,22,45,92,22,2.6298,3,181,2020/10/20 09:31
43,18,15,33,7,2.3973,3,73,2020/10/20 09:31
44,25,37,61,10,2.4211,3,133,2020/10/20 09:31
45,8,51,83,20,2.7099,3,162,2020/10/20 09:31
46,9,51,90,21,2.7193,3,171,2020/10/20 09:31
