tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
9001,15,0,1,0,1.125,1,16,2020/10/20 09:31
9002,2,0,0,0,1.0,1,2,2020/10/20 09:31
9003,1,0,1,2,3.0,4,4,2020/10/20 09:31
9004,3,1,0,0,1.25,1,4,2020/10/20 09:31
9005,2,0,0,0,1.0,1,2,2020/10/20 09:31
9006,6,2,0,0,1.25,1,8,2020/10/20 09:31
9007,1,0,1,2,3.0,4,4,2020/10/20 09:31
9008,1,0,1,2,3.0,4,4,2020/10/20 09:31
9009,13,2,1,2,1.5556,1,18,2020/10/20 09:31
9010,0,0,0,0,0.0,0,0,
9011,34,4,2,0,1.2,1,40,2020/10/20 09:31
9012,30,7,1,2,1.375,1,40,2020/10/20 09:31
9013,27,0,1,0,1.0714,1,28,2020/10/20 09:31
9014,2,0,0,0,1.0,1,2,2020/10/20 09:31
9015,29,6,1,2,1.3684,1,38,2020/10/20 09:31
9016,12,0,0,0,1.0,1,12,2020/10/20 09:31
9017,6,0,0,0,1.0,1,6,2020/10/20 09:31
9018,45,19,7,0,1.4648,1,71,2020/10/20 09:31
9019,17,3,0,0,1.15,1,20,2020/10/20 09:31
9020,4,2,0,0,1.3333,1,6,2020/10/20 09:31
9021,1,1,0,0,1.5,1,2,2020/10/20 09:31
9022,12,0,0,0,1.0,1,12,2020/10/20 09:31
9023,23,0,1,0,1.0833,1,24,2020/10/20 09:31
9024,9,6,1,0,1.5,1,16,2020/10/20 09:31
9025,4,0,0,0,1.0,1,4,2020/10/20 09:31
9026,5,2,1,0,1.5,1,8,2020/10/20 09:31
9027,0,0,0,0,0.0,0,0,
9028,0,0,0,0,0.0,0,0,
9029,12,3,1,0,1.3125,1,16,2020/10/20 09:31
9030,4,0,0,0,1.0,1,4,2020/10/20 09:31
9031,2,0,0,0,1.0,1,2,2020/10/20 09:31
9032,2,0,0,0,1.0,1,2,2020/10/20 09:31
9033,4,0,0,0,1.0,1,4,2020/10/20 09:31
9034,4,0,0,0,1.0,1,4,2020/10/20 09:31
9035,4,0,0,0,1.0,1,4,2020/10/20 09:31
9036,11,4,1,0,1.375,1,16,2020/10/20 09:31
9037,21,4,2,0,1.2963,1,27,2020/10/20 09:31
9038,6,0,0,0,1.0,1,6,2020/10/20 09:31
9039,6,0,0,0,1.0,1,6,2020/10/20 09:31
9040,4,0,0,0,1.0,1,4,2020/10/20 09:31
9041,9,5,0,0,1.3571,1,14,2020/10/20 09:31
9042,4,0,0,0,1.0,1,4,2020/10/20 09:31
9043,12,3,1,0,1.3125,1,16,2020/10/20 09:31
9044,0,0,0,0,0.0,0,0,
9045,5,4,3,0,1.8333,1,12,2020/10/20 09:31
9046,18,0,0,0,1.0,1,18,2020/10/20 09:31
9047,7,1,0,0,1.125,1,8,2020/10/20 09:31
9048,0,4,0,0,2.0,2,4,2020/10/20 09:31
9049,14,12,5,3,1.9118,1,34,2020/10/20 09:31
9050,14,12,5,3,1.9118,1,34,2020/10/20 09:31
9051,6,2,0,0,1.25,1,8,2020/10/20 09:31
9052,0,0,0,0,0.0,0,0,
9053,34,1,0,0,1.0286,1,35,2020/10/20 09:31
9054,0,0,0,0,0.0,0,0,
9055,38,25,18,3,1.8333,1,84,2020/10/20 09:31
9056,13,11,5,3,1.9375,1,32,2020/10/20 09:31
9057,19,1,0,0,1.05,1,20,2020/10/20 09:31
9058,0,0,0,0,0.0,0,0,
9059,0,0,0,0,0.0,0,0,
9060,4,0,0,0,1.0,1,4,2020/10/20 09:31
9061,0,0,0,0,0.0,0,0,
9062,2,0,0,0,1.0,1,2,2020/10/20 09:31
9063,6,0,0,0,1.0,1,6,2020/10/20 09:31
9064,4,0,0,0,1.0,1,4,2020/10/20 09:31
9065,45,7,3,1,1.2857,1,56,2020/10/20 09:31
9066,18,0,0,0,1.0,1,18,2020/10/20 09:31
9067,12,2,0,0,1.1429,1,14,2020/10/20 09:31
9068,39,33,40,13,2.216,3,125,2020/10/20 09:31
9069,15,5,4,2,1.7308,1,26,2020/10/20 09:31
9070,42,4,1,1,1.1875,1,48,2020/10/20 09:31
9071,137,99,79,41,2.0674,1,356,2020/10/20 09:31
9072,114,85,54,23,1.9493,1,276,2020/10/20 09:31
9073,36,5,1,1,1.2326,1,43,2020/10/20 09:31
9074,72,66,49,24,2.1185,1,211,2020/10/20 09:31
9075,79,73,55,25,2.1121,1,232,2020/10/20 09:31
