tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
2001,36,45,72,26,2.4916,3,179,2020/10/20 09:31
2002,8,33,45,28,2.8158,3,114,2020/10/20 09:31
2003,51,32,49,8,2.1,1,140,2020/10/20 09:31
2004,19,47,91,22,2.648,3,179,2020/10/20 09:31
2005,20,50,96,24,2.6526,3,190,2020/10/20 09:31
2006,11,48,97,22,2.7303,3,178,2020/10/20 09:31
2007,20,39,65,14,2.529,3,138,2020/10/20 09:31
2008,18,42,73,15,2.5743,3,148,2020/10/20 09:31
2009,8,40,55,19,2.6967,3,122,2020/10/20 09:31
2010,7,16,20,7,2.54,3,50,2020/10/20 09:31
2011,14,42,64,11,2.5496,3,131,2020/10/20 09:31
2012,33,16,21,6,2.0,1,76,2020/10/20 09:31
2013,10,17,26,6,2.4746,3,59,2020/10/20 09:31
2014,16,45,93,18,2.657,3,172,2020/10/20 09:31
2015,5,18,31,14,2.7941,3,68,2020/10/20 09:31
2016,20,50,96,24,2.6526,3,190,2020/10/20 09:31
2017,25,40,46,17,2.4297,3,128,2020/10/20 09:31
2018,5,18,20,7,2.58,3,50,2020/10/20 09:31
2019,9,45,96,22,2.7616,3,172,2020/10/20 09:31
2020,23,16,23,2,2.0625,1,64,2020/10/20 09:31
2021,20,17,31,13,2.4568,3,81,2020/10/20 09:31
2022,13,32,47,16,2.6111,3,108,2020/10/20 09:31
2023,26,28,51,17,2.4836,3,122,2020/10/20 09:31
2024,9,34,72,31,2.8562,3,146,2020/10/20 09:31
2025,11,25,56,11,2.6505,3,103,2020/10/20 09:31
2026,18,55,101,25,2.6683,3,199,2020/10/20 09:31
2027,11,5,2,0,1.5,1,18,2020/10/20 09:31
2028,11,34,51,11,2.5794,3,107,2020/10/20 09:31
2029,7,36,62,30,2.8519,3,135,2020/10/20 09:31
2030,22,30,47,17,2.5086,3,116,2020/10/20 09:31
2031,15,38,57,14,2.5645,3,124,2020/10/20 09:31
2032,13,22,32,7,2.4459,3,74,2020/10/20 09:31
2033,6,45,65,21,2.7372,3,137,2020/10/20 09:31
2034,19,25,47,15,2.5472,3,106,2020/10/20 09:31
2035,63,41,64,21,2.2275,3,189,2020/10/20 09:31
