tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
5001,38,39,46,23,2.3699,3,146,2020/10/20 09:31
5002,31,21,18,10,2.0875,1,80,2020/10/20 09:31
5003,25,32,31,9,2.2474,2,97,2020/10/20 09:31
5004,8,25,49,5,2.5862,3,87,2020/10/20 09:31
5005,1,9,20,6,2.8611,3,36,2020/10/20 09:31
5006,50,51,45,16,2.1667,2,162,2020/10/20 09:31
5007,16,32,40,10,2.449,3,98,2020/10/20 09:31
5008,16,18,29,4,2.3134,3,67,2020/10/20 09:31
5009,25,18,13,4,1.9333,1,60,2020/10/20 09:31
5010,6,12,21,5,2.5682,3,44,2020/10/20 09:31
5011,14,31,41,15,2.5644,3,101,2020/10/20 09:31
5012,14,32,41,15,2.5588,3,102,2020/10/20 09:31
5013,21,23,18,4,2.0758,2,66,2020/10/20 09:31
5014,10,12,24,8,2.5556,3,54,2020/10/20 09:31
5015,6,18,9,1,2.1471,2,34,2020/10/20 09:31
5016,8,20,14,3,2.2667,2,45,2020/10/20 09:31
5017,8,23,18,10,2.5085,2,59,2020/10/20 09:31
5018,4,24,22,12,2.6774,2,62,2020/10/20 09:31
5019,15,5,3,0,1.4783,1,23,2020/10/20 09:31
5020,8,2,0,0,1.2,1,10,2020/10/20 09:31
5021,20,20,8,3,1.8824,1,51,2020/10/20 09:31
5022,29,24,21,7,2.0741,1,81,2020/10/20 09:31
5023,4,3,1,0,1.625,1,8,2020/10/20 09:31
5024,0,0,0,0,0.0,0,0,
5025,31,18,9,5,1.8095,1,63,2020/10/20 09:31
5026,8,7,4,1,1.9,1,20,2020/10/20 09:31
5027,21,1,0,0,1.0455,1,22,2020/10/20 09:31
5028,0,0,0,0,0.0,0,0,
5029,0,0,0,0,0.0,0,0,
5030,0,0,0,0,0.0,0,0,
5031,2,0,0,0,1.0,1,2,2020/10/20 09:31
5032,2,0,0,0,1.0,1,2,2020/10/20 09:31
5033,45,15,11,1,1.5556,1,72,2020/10/20 09:31
5034,47,21,10,8,1.7558,1,86,2020/10/20 09:31
5035,26,6,4,1,1.4595,1,37,2020/10/20 09:31
5036,21,12,9,1,1.7674,1,43,2020/10/20 09:31
5037,13,0,0,0,1.0,1,13,2020/10/20 09:31
5038,30,2,1,0,1.1212,1,33,2020/10/20 09:31
5039,34,5,2,0,1.2195,1,41,2020/10/20 09:31
5040,36,15,6,4,1.6393,1,61,2020/10/20 09:31
5041,0,0,0,0,0.0,0,0,
5042,41,27,14,6,1.8295,1,88,2020/10/20 09:31
