tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
16001,15,15,16,4,2.18,3,50,2020/10/21 09:26
16002,10,0,0,0,1.0,1,10,2020/10/21 09:26
16003,0,0,0,0,0.0,0,0,
16004,33,21,17,3,1.8649,1,74,2020/10/21 09:26
16005,0,0,0,0,0.0,0,0,
16006,13,3,0,0,1.1875,1,16,2020/10/21 09:26
16007,23,20,21,4,2.0882,1,68,2020/10/21 09:26
16008,39,18,15,2,1.7297,1,74,2020/10/21 09:26
16009,5,7,6,2,2.25,2,20,2020/10/21 09:26
16010,0,0,0,0,0.0,0,0,
16011,27,19,5,3,1.7037,1,54,2020/10/21 09:26
16012,0,0,0,0,0.0,0,0,
16013,29,15,15,1,1.8,1,60,2020/10/21 09:26
16014,29,14,16,1,1.8167,1,60,2020/10/21 09:26
16015,29,14,16,1,1.8167,1,60,2020/10/21 09:26
16016,4,0,0,0,1.0,1,4,2020/10/21 09:26
16017,7,5,0,0,1.4167,1,12,2020/10/21 09:26
16018,0,0,0,0,0.0,0,0,
16019,14,10,7,1,1.8438,1,32,2020/10/21 09:26
16020,13,1,0,0,1.0714,1,14,2020/10/21 09:26
16021,0,0,0,0,0.0,0,0,
16022,8,3,6,1,2.0,1,18,2020/10/21 09:26
16023,27,19,16,3,1.9231,1,65,2020/10/21 09:26
16024,2,0,0,0,1.0,1,2,2020/10/21 09:26
16025,13,1,2,0,1.3125,1,16,2020/10/21 09:26
16026,4,0,0,0,1.0,1,4,2020/10/21 09:26
16027,13,1,2,0,1.3125,1,16,2020/10/21 09:26
16028,17,1,2,0,1.25,1,20,2020/10/21 09:26
16029,2,0,0,0,1.0,1,2,2020/10/21 09:26
16030,4,0,0,0,1.0,1,4,2020/10/21 09:26
16031,1,1,0,0,1.5,1,2,2020/10/21 09:26
16032,1,1,0,0,1.5,1,2,2020/10/21 09:26
16033,12,0,0,0,1.0,1,12,2020/10/21 09:26
16034,5,0,1,0,1.3333,1,6,2020/10/21 09:26
16035,0,0,0,0,0.0,0,0,
16036,6,0,0,0,1.0,1,6,2020/10/21 09:26
16037,18,1,2,1,1.3636,1,22,2020/10/21 09:26
16038,0,0,0,0,0.0,0,0,
16039,8,0,0,0,1.0,1,8,2020/10/21 09:26
16040,1,3,0,0,1.75,2,4,2020/10/21 09:26
16041,13,1,0,0,1.0714,1,14,2020/10/21 09:26
16042,0,0,0,0,0.0,0,0,
16043,6,0,0,0,1.0,1,6,2020/10/21 09:26
16044,6,0,0,0,1.0,1,6,2020/10/21 09:26
16045,15,11,11,1,1.9474,1,38,2020/10/21 09:26
16046,14,12,12,2,2.05,1,40,2020/10/21 09:26
16047,23,18,4,3,1.7292,1,48,2020/10/21 09:26
16048,10,3,3,0,1.5625,1,16,2020/10/21 09:26
16049,17,13,11,1,1.9048,1,42,2020/10/21 09:26
16050,4,0,0,0,1.0,1,4,2020/10/21 09:26
16051,9,2,1,0,1.3333,1,12,2020/10/21 09:26
16052,6,0,0,0,1.0,1,6,2020/10/21 09:26
16053,0,0,0,0,0.0,0,0,
16054,6,0,0,0,1.0,1,6,2020/10/21 09:26
16055,4,0,0,0,1.0,1,4,2020/10/21 09:26
16056,12,12,12,2,2.1053,1,38,2020/10/21 09:26
16057,22,12,4,2,1.65,1,40,2020/10/21 09:26
16058,22,0,0,0,1.0,1,22,2020/10/21 09:26
16059,6,0,0,0,1.0,1,6,2020/10/21 09:26
16060,6,0,0,0,1.0,1,6,2020/10/21 09:26
16061,18,13,14,1,1.9565,1,46,2020/10/21 09:26
16062,8,0,0,0,1.0,1,8,2020/10/21 09:26
16063,17,13,11,1,1.9048,1,42,2020/10/21 09:26
16064,2,0,0,0,1.0,1,2,2020/10/21 09:26
16065,29,14,16,1,1.8167,1,60,2020/10/21 09:26
16066,25,4,5,0,1.4118,1,34,2020/10/21 09:26
16067,14,0,0,0,1.0,1,14,2020/10/21 09:26
16068,19,3,0,0,1.1364,1,22,2020/10/21 09:26
16069,16,0,0,0,1.0,1,16,2020/10/21 09:26
16070,0,0,0,0,0.0,0,0,
16071,4,0,0,0,1.0,1,4,2020/10/21 09:26
16072,9,19,5,2,2.0,2,35,2020/10/21 09:26
16073,19,1,0,0,1.05,1,20,2020/10/21 09:26
16074,19,1,0,0,1.05,1,20,2020/10/21 09:26
16075,0,0,0,0,0.0,0,0,
16076,0,0,0,0,0.0,0,0,
16077,0,0,0,0,0.0,0,0,
16078,4,1,1,0,1.5,1,6,2020/10/21 09:26
16079,15,5,2,1,1.5217,1,23,2020/10/21 09:26
16080,16,12,20,7,2.3273,3,55,2020/10/21 09:26
16081,29,1,1,1,1.1875,1,32,2020/10/21 09:26
16082,8,0,0,0,1.0,1,8,2020/10/21 09:26
16083,30,13,16,1,1.8,1,60,2020/10/21 09:26
16084,16,0,0,0,1.0,1,16,2020/10/21 09:26
16085,7,0,0,0,1.0,1,7,2020/10/21 09:26
16086,0,0,0,0,0.0,0,0,
16087,9,1,0,0,1.1,1,10,2020/10/21 09:26
16088,4,0,0,0,1.0,1,4,2020/10/21 09:26
16089,0,0,0,0,0.0,0,0,
16090,6,0,0,0,1.0,1,6,2020/10/21 09:26
16091,6,0,0,0,1.0,1,6,2020/10/21 09:26
16092,6,0,0,0,1.0,1,6,2020/10/21 09:26
16093,2,9,7,2,2.45,2,20,2020/10/21 09:26
16094,25,18,5,3,1.7255,1,51,2020/10/21 09:26
16095,34,12,11,1,1.6379,1,58,2020/10/21 09:26
16096,23,16,5,3,1.7447,1,47,2020/10/21 09:26
16097,30,13,16,1,1.8,1,60,2020/10/21 09:26
16098,23,17,24,7,2.2113,3,71,2020/10/21 09:26
16099,38,1,1,0,1.075,1,40,2020/10/21 09:26
16100,2,0,0,0,1.0,1,2,2020/10/21 09:26
16101,0,0,0,0,0.0,0,0,
16102,4,0,0,0,1.0,1,4,2020/10/21 09:26
16103,4,0,0,0,1.0,1,4,2020/10/21 09:26
16104,5,1,0,0,1.1667,1,6,2020/10/21 09:26
16105,0,0,0,0,0.0,0,0,
16106,18,13,21,7,2.2881,3,59,2020/10/21 09:26
