tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
18001,0,0,0,0,0.0,0,0,
18002,60,91,107,36,2.4048,3,294,2020/10/21 09:26
18003,4,0,0,0,1.0,1,4,2020/10/21 09:26
18004,0,0,0,0,0.0,0,0,
18005,14,1,0,1,1.25,1,16,2020/10/21 09:26
18006,39,6,1,2,1.2917,1,48,2020/10/21 09:26
18007,37,20,16,1,1.7432,1,74,2020/10/21 09:26
18008,2,0,0,0,1.0,1,2,2020/10/21 09:26
18009,10,0,0,0,1.0,1,10,2020/10/21 09:26
18010,38,11,4,3,1.5,1,56,2020/10/21 09:26
18011,10,0,0,0,1.0,1,10,2020/10/21 09:26
18012,51,19,13,2,1.6,1,85,2020/10/21 09:26
18013,26,1,1,0,1.1071,1,28,2020/10/21 09:26
18014,18,2,2,0,1.2727,1,22,2020/10/21 09:26
18015,2,0,0,0,1.0,1,2,2020/10/21 09:26
18016,26,26,5,1,1.6724,1,58,2020/10/21 09:26
18017,134,134,142,67,2.2977,3,477,2020/10/21 09:26
18018,188,236,313,99,2.3864,3,836,2020/10/21 09:26
18019,10,0,0,0,1.0,1,10,2020/10/21 09:26
18020,29,9,4,0,1.4048,1,42,2020/10/21 09:26
18021,0,0,0,0,0.0,0,0,
18022,6,0,0,0,1.0,1,6,2020/10/21 09:26
18023,13,1,0,0,1.0714,1,14,2020/10/21 09:26
18024,10,0,0,0,1.0,1,10,2020/10/21 09:26
18025,6,0,0,0,1.0,1,6,2020/10/21 09:26
18026,0,0,0,0,0.0,0,0,
18027,20,0,0,0,1.0,1,20,2020/10/21 09:26
18028,4,0,0,0,1.0,1,4,2020/10/21 09:26
18029,9,1,0,0,1.1,1,10,2020/10/21 09:26
18030,28,2,1,0,1.129,1,31,2020/10/21 09:26
18031,28,2,1,0,1.129,1,31,2020/10/21 09:26
18032,8,0,0,0,1.0,1,8,2020/10/21 09:26
18033,97,75,67,14,1.9921,1,253,2020/10/21 09:26
18034,8,0,0,0,1.0,1,8,2020/10/21 09:26
18035,7,2,0,0,1.2222,1,9,2020/10/21 09:26
18036,6,0,0,0,1.0,1,6,2020/10/21 09:26
18037,0,0,0,0,0.0,0,0,
18038,0,0,0,0,0.0,0,0,
18039,9,0,1,0,1.2,1,10,2020/10/21 09:26
18040,2,0,0,0,1.0,1,2,2020/10/21 09:26
