tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
4001,27,34,45,6,2.2679,3,112,2020/10/20 09:31
4002,27,31,43,6,2.2617,3,107,2020/10/20 09:31
4003,17,24,43,11,2.5053,3,95,2020/10/20 09:31
4004,12,24,43,8,2.5402,3,87,2020/10/20 09:31
4005,44,31,36,8,2.0672,1,119,2020/10/20 09:31
4006,8,26,32,5,2.4789,3,71,2020/10/20 09:31
4007,10,0,0,0,1.0,1,10,2020/10/20 09:31
4008,4,0,0,0,1.0,1,4,2020/10/20 09:31
4009,4,0,0,0,1.0,1,4,2020/10/20 09:31
4010,25,25,39,12,2.3762,3,101,2020/10/20 09:31
4011,22,13,12,1,1.8333,1,48,2020/10/20 09:31
4012,0,0,0,0,0.0,0,0,
4013,41,77,85,28,2.4329,3,231,2020/10/20 09:31
4014,24,19,40,8,2.3516,3,91,2020/10/20 09:31
4015,20,20,13,1,1.9074,1,54,2020/10/20 09:31
4016,11,24,42,8,2.5529,3,85,2020/10/20 09:31
4017,10,16,32,7,2.5538,3,65,2020/10/20 09:31
4018,9,27,19,4,2.3051,2,59,2020/10/20 09:31
4019,28,4,0,0,1.125,1,32,2020/10/20 09:31
4020,31,15,12,2,1.75,1,60,2020/10/20 09:31
4021,22,13,12,1,1.8333,1,48,2020/10/20 09:31
4022,22,11,12,1,1.8261,1,46,2020/10/20 09:31
4023,24,32,48,10,2.386,3,114,2020/10/20 09:31
4024,24,13,17,3,1.9825,1,57,2020/10/20 09:31
4025,10,16,32,7,2.5538,3,65,2020/10/20 09:31
4026,7,3,2,0,1.5833,1,12,2020/10/20 09:31
4027,6,0,0,0,1.0,1,6,2020/10/20 09:31
4028,0,0,0,0,0.0,0,0,
4029,8,0,0,0,1.0,1,8,2020/10/20 09:31
4030,20,22,29,10,2.358,3,81,2020/10/20 09:31
4031,12,21,35,2,2.3857,3,70,2020/10/20 09:31
4032,18,25,37,5,2.3412,3,85,2020/10/20 09:31
4033,20,27,23,5,2.1733,2,75,2020/10/20 09:31
4034,25,22,35,8,2.2889,3,90,2020/10/20 09:31
4035,17,19,18,5,2.1864,2,59,2020/10/20 09:31
4036,8,15,29,10,2.6613,3,62,2020/10/20 09:31
4037,8,9,15,9,2.6098,3,41,2020/10/20 09:31
4038,64,17,31,6,1.822,1,118,2020/10/20 09:31
4039,10,16,32,7,2.5538,3,65,2020/10/20 09:31
4040,39,29,28,5,1.9901,1,101,2020/10/20 09:31
4041,16,32,39,11,2.4592,3,98,2020/10/20 09:31
4042,22,16,13,2,1.9057,1,53,2020/10/20 09:31
4043,68,58,72,26,2.25,3,224,2020/10/20 09:31
4044,6,12,28,10,2.75,3,56,2020/10/20 09:31
